train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.12e+00,1.28e+08,1.28e+06,9.29e-01,1.37e+06,6.79e-02,0,4.56e+00,2.10e-01,5.67e-02,4.82e+00
8.11e-01,9.47e+05,9.47e+03,7.10e-01,7.22e+05,-2.08e-01,1,4.52e+00,2.10e-01,4.05e-02,4.77e+00
6.35e-01,6.30e+05,6.30e+03,5.71e-01,5.60e+05,-4.28e-01,2,4.56e+00,2.13e-01,4.12e-02,4.82e+00
5.24e-01,5.13e+05,5.13e+03,4.84e-01,4.71e+05,-5.95e-01,3,4.52e+00,2.08e-01,4.90e-02,4.78e+00
4.55e-01,4.38e+05,4.38e+03,4.31e-01,4.07e+05,-7.12e-01,4,4.56e+00,2.12e-01,4.92e-02,4.82e+00
4.14e-01,3.81e+05,3.81e+03,4.00e-01,3.57e+05,-7.88e-01,5,4.84e+00,2.16e-01,1.72e-01,5.23e+00
3.91e-01,3.37e+05,3.37e+03,3.83e-01,3.17e+05,-8.33e-01,6,4.50e+00,2.11e-01,4.95e-02,4.76e+00
3.78e-01,2.99e+05,2.99e+03,3.75e-01,2.82e+05,-8.56e-01,7,4.58e+00,2.07e-01,4.87e-02,4.84e+00
3.72e-01,2.67e+05,2.67e+03,3.71e-01,2.53e+05,-8.67e-01,8,4.51e+00,2.14e-01,4.35e-02,4.76e+00
3.70e-01,2.40e+05,2.40e+03,3.70e-01,2.27e+05,-8.70e-01,9,4.56e+00,2.12e-01,4.91e-02,4.82e+00
3.70e-01,2.17e+05,2.17e+03,3.71e-01,2.06e+05,-8.70e-01,10,4.55e+00,2.15e-01,8.73e-02,4.85e+00
3.71e-01,1.97e+05,1.97e+03,3.72e-01,1.87e+05,-8.68e-01,11,4.53e+00,2.12e-01,6.08e-02,4.80e+00
3.72e-01,1.80e+05,1.80e+03,3.73e-01,1.72e+05,-8.65e-01,12,4.52e+00,2.17e-01,3.38e-02,4.77e+00
3.74e-01,1.71e+05,1.71e+03,3.75e-01,1.60e+05,-8.62e-01,13,4.50e+00,2.05e-01,3.32e-02,4.74e+00
3.75e-01,1.70e+05,1.70e+03,3.76e-01,1.86e+05,-8.56e-01,14,4.56e+00,2.11e-01,3.40e-02,4.80e+00
3.77e-01,1.79e+05,1.79e+03,3.78e-01,1.85e+05,-8.52e-01,15,4.43e+00,2.04e-01,3.41e-02,4.66e+00
3.59e-01,9.02e+06,9.02e+04,3.48e-01,1.05e+06,-9.18e-01,16,4.53e+00,2.04e-01,3.98e-02,4.77e+00
3.49e-01,8.80e+05,8.80e+03,3.50e-01,7.77e+05,-9.14e-01,17,4.41e+00,2.12e-01,3.44e-02,4.65e+00
3.51e-01,7.24e+05,7.24e+03,3.52e-01,6.78e+05,-9.11e-01,18,4.49e+00,2.10e-01,4.16e-02,4.74e+00
3.52e-01,6.45e+05,6.45e+03,3.53e-01,6.16e+05,-9.08e-01,19,4.46e+00,2.14e-01,4.27e-02,4.71e+00
3.53e-01,5.92e+05,5.92e+03,3.54e-01,5.69e+05,-9.05e-01,20,4.39e+00,2.04e-01,3.37e-02,4.63e+00
3.55e-01,5.48e+05,5.48e+03,3.56e-01,5.29e+05,-9.02e-01,21,4.30e+00,2.04e-01,4.10e-02,4.54e+00
3.56e-01,5.10e+05,5.10e+03,3.57e-01,4.92e+05,-8.99e-01,22,4.32e+00,2.16e-01,4.42e-02,4.58e+00
3.58e-01,4.75e+05,4.75e+03,3.59e-01,4.58e+05,-8.95e-01,23,4.58e+00,2.19e-01,4.20e-02,4.84e+00
3.59e-01,4.41e+05,4.41e+03,3.60e-01,4.25e+05,-8.91e-01,24,4.61e+00,2.19e-01,4.60e-02,4.88e+00
3.61e-01,4.09e+05,4.09e+03,3.62e-01,3.93e+05,-8.87e-01,25,4.52e+00,2.25e-01,4.15e-02,4.79e+00
3.63e-01,3.78e+05,3.78e+03,3.64e-01,3.63e+05,-8.82e-01,26,4.54e+00,2.04e-01,4.31e-02,4.79e+00
3.65e-01,3.48e+05,3.48e+03,3.67e-01,3.32e+05,-8.76e-01,27,4.62e+00,2.28e-01,4.24e-02,4.89e+00
3.68e-01,3.17e+05,3.17e+03,3.69e-01,3.02e+05,-8.71e-01,28,4.74e+00,2.10e-01,4.30e-02,5.00e+00
3.70e-01,2.87e+05,2.87e+03,3.71e-01,2.73e+05,-8.66e-01,29,4.42e+00,2.03e-01,4.16e-02,4.67e+00
3.72e-01,2.59e+05,2.59e+03,3.74e-01,2.44e+05,-8.60e-01,30,4.31e+00,2.04e-01,4.38e-02,4.56e+00
3.75e-01,2.31e+05,2.31e+03,3.76e-01,2.20e+05,-8.55e-01,31,4.53e+00,2.15e-01,4.34e-02,4.79e+00
3.77e-01,2.13e+05,2.13e+03,3.78e-01,2.35e+05,-8.49e-01,32,4.62e+00,2.28e-01,4.19e-02,4.89e+00
3.79e-01,2.01e+05,2.01e+03,3.80e-01,1.70e+05,-8.47e-01,33,4.60e+00,2.15e-01,4.83e-02,4.87e+00
