train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.06e-01,2.37e+08,1.06e-01,6.74e-03,9.85e+06,-5.00e+00,0,1.51e+01,3.31e-01,1.33e-01,1.56e+01
4.67e-03,4.93e+06,4.67e-03,3.46e-03,2.60e+06,-5.67e+00,1,4.50e+00,2.06e-01,3.90e-02,4.74e+00
3.59e-03,2.21e+06,3.59e-03,3.09e-03,1.81e+06,-5.79e+00,2,4.29e+00,2.06e-01,3.94e-02,4.53e+00
3.27e-03,1.70e+06,3.27e-03,2.83e-03,1.46e+06,-5.88e+00,3,4.30e+00,2.06e-01,1.41e-01,4.64e+00
3.03e-03,1.53e+06,3.03e-03,2.59e-03,1.40e+06,-5.97e+00,4,4.31e+00,2.15e-01,4.09e-02,4.57e+00
2.81e-03,1.49e+06,2.81e-03,2.49e-03,1.49e+06,-6.00e+00,5,4.53e+00,2.13e-01,4.11e-02,4.79e+00
2.59e-03,1.44e+06,2.59e-03,2.30e-03,1.36e+06,-6.08e+00,6,4.48e+00,2.16e-01,8.77e-02,4.79e+00
2.39e-03,1.36e+06,2.39e-03,2.15e-03,1.19e+06,-6.15e+00,7,4.51e+00,2.15e-01,1.39e-01,4.86e+00
2.22e-03,1.26e+06,2.22e-03,1.99e-03,1.13e+06,-6.22e+00,8,4.51e+00,2.19e-01,8.64e-02,4.81e+00
2.11e-03,1.20e+06,2.11e-03,1.89e-03,1.03e+06,-6.27e+00,9,4.49e+00,2.15e-01,1.31e-01,4.84e+00
2.02e-03,1.13e+06,2.02e-03,1.81e-03,9.63e+05,-6.32e+00,10,4.56e+00,2.13e-01,6.61e-02,4.84e+00
1.94e-03,1.08e+06,1.94e-03,1.73e-03,8.86e+05,-6.36e+00,11,4.41e+00,2.15e-01,5.73e-02,4.68e+00
