train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.93e-03,1.19e+06,2.05e-03,1.99e-03,1.29e+06,-6.23e+00,8,3.92e+00,1.94e-01,3.56e-02,4.15e+00
1.86e-03,1.05e+06,1.97e-03,1.95e-03,1.16e+06,-6.24e+00,9,3.90e+00,1.93e-01,3.99e-02,4.13e+00
1.79e-03,9.73e+05,1.88e-03,1.86e-03,1.00e+06,-6.29e+00,10,3.91e+00,1.94e-01,7.29e-02,4.18e+00
1.73e-03,9.10e+05,1.82e-03,1.81e-03,9.14e+05,-6.32e+00,11,3.90e+00,1.94e-01,7.08e-02,4.17e+00
1.68e-03,8.76e+05,1.76e-03,1.76e-03,8.47e+05,-6.35e+00,12,3.91e+00,1.94e-01,6.94e-02,4.17e+00
1.64e-03,8.32e+05,1.72e-03,1.72e-03,7.96e+05,-6.37e+00,13,3.91e+00,1.94e-01,6.78e-02,4.17e+00
1.60e-03,7.88e+05,1.68e-03,1.69e-03,7.55e+05,-6.39e+00,14,3.91e+00,1.94e-01,4.02e-02,4.14e+00
1.57e-03,7.68e+05,1.65e-03,1.68e-03,7.71e+05,-6.39e+00,15,3.91e+00,1.94e-01,7.02e-02,4.18e+00
1.55e-03,7.44e+05,1.62e-03,1.76e-03,8.21e+05,-6.35e+00,16,3.91e+00,1.94e-01,6.83e-02,4.17e+00
1.53e-03,7.23e+05,1.60e-03,1.72e-03,8.02e+05,-6.37e+00,17,3.90e+00,1.94e-01,4.23e-02,4.14e+00
1.51e-03,7.11e+05,1.59e-03,1.64e-03,7.85e+05,-6.42e+00,18,3.91e+00,1.94e-01,4.92e-02,4.15e+00
1.50e-03,6.91e+05,1.57e-03,1.55e-03,7.34e+05,-6.47e+00,19,3.91e+00,1.94e-01,4.89e-02,4.15e+00
1.47e-03,6.58e+05,1.53e-03,1.51e-03,6.87e+05,-6.50e+00,20,3.91e+00,1.94e-01,4.91e-02,4.15e+00
1.43e-03,6.32e+05,1.49e-03,1.46e-03,6.53e+05,-6.54e+00,21,3.91e+00,1.94e-01,4.89e-02,4.15e+00
1.40e-03,6.07e+05,1.46e-03,1.44e-03,6.47e+05,-6.55e+00,22,3.92e+00,1.94e-01,4.90e-02,4.16e+00
1.38e-03,5.89e+05,1.44e-03,1.38e-03,6.47e+05,-6.59e+00,23,3.91e+00,1.94e-01,4.95e-02,4.15e+00
1.36e-03,5.72e+05,1.41e-03,1.35e-03,6.08e+05,-6.61e+00,24,3.91e+00,1.95e-01,4.92e-02,4.15e+00
1.33e-03,5.59e+05,1.39e-03,1.32e-03,6.01e+05,-6.64e+00,25,3.91e+00,1.94e-01,4.04e-02,4.15e+00
1.31e-03,5.46e+05,1.37e-03,1.29e-03,5.96e+05,-6.66e+00,26,3.91e+00,1.94e-01,4.02e-02,4.15e+00
1.30e-03,5.31e+05,1.35e-03,1.25e-03,5.55e+05,-6.69e+00,27,3.91e+00,1.95e-01,4.90e-02,4.15e+00
1.27e-03,5.26e+05,1.33e-03,1.22e-03,5.37e+05,-6.71e+00,28,3.91e+00,1.94e-01,4.86e-02,4.15e+00
1.25e-03,5.09e+05,1.30e-03,1.19e-03,5.24e+05,-6.73e+00,29,3.91e+00,1.94e-01,4.90e-02,4.15e+00
1.23e-03,5.01e+05,1.28e-03,1.19e-03,5.33e+05,-6.74e+00,30,3.92e+00,1.94e-01,4.93e-02,4.17e+00
1.21e-03,5.00e+05,1.26e-03,1.16e-03,5.09e+05,-6.77e+00,31,3.91e+00,1.94e-01,4.91e-02,4.15e+00
1.18e-03,4.75e+05,1.23e-03,1.13e-03,4.79e+05,-6.79e+00,32,3.91e+00,1.95e-01,4.90e-02,4.15e+00
1.16e-03,4.68e+05,1.21e-03,1.12e-03,4.64e+05,-6.80e+00,33,4.93e+00,2.17e-01,7.86e-02,5.23e+00
1.14e-03,4.43e+05,1.19e-03,1.10e-03,4.46e+05,-6.81e+00,34,3.92e+00,1.95e-01,4.01e-02,4.16e+00
1.12e-03,4.25e+05,1.17e-03,1.08e-03,4.42e+05,-6.83e+00,35,3.91e+00,1.94e-01,4.89e-02,4.15e+00
1.11e-03,4.17e+05,1.15e-03,1.06e-03,4.30e+05,-6.85e+00,36,3.91e+00,1.94e-01,4.02e-02,4.14e+00
1.09e-03,4.01e+05,1.13e-03,1.05e-03,4.04e+05,-6.86e+00,37,3.95e+00,2.01e-01,4.89e-02,4.20e+00
1.08e-03,3.87e+05,1.12e-03,1.04e-03,3.97e+05,-6.87e+00,38,3.94e+00,1.95e-01,4.92e-02,4.18e+00
1.07e-03,3.79e+05,1.11e-03,1.03e-03,3.82e+05,-6.88e+00,39,3.91e+00,1.94e-01,4.88e-02,4.15e+00
1.06e-03,3.72e+05,1.10e-03,1.02e-03,3.59e+05,-6.89e+00,40,3.92e+00,1.95e-01,4.97e-02,4.16e+00
1.05e-03,3.60e+05,1.09e-03,1.02e-03,3.52e+05,-6.90e+00,41,3.91e+00,1.94e-01,4.84e-02,4.15e+00
1.04e-03,3.52e+05,1.08e-03,1.01e-03,3.52e+05,-6.90e+00,42,3.91e+00,1.94e-01,4.85e-02,4.15e+00
1.04e-03,3.50e+05,1.07e-03,1.01e-03,3.38e+05,-6.90e+00,43,3.91e+00,1.94e-01,4.21e-02,4.14e+00
1.03e-03,3.44e+05,1.07e-03,1.02e-03,3.30e+05,-6.90e+00,44,3.92e+00,1.94e-01,4.14e-02,4.15e+00
1.03e-03,3.37e+05,1.06e-03,1.03e-03,3.13e+05,-6.89e+00,45,3.91e+00,1.94e-01,4.18e-02,4.14e+00
1.02e-03,3.30e+05,1.06e-03,1.04e-03,3.12e+05,-6.88e+00,46,3.90e+00,1.94e-01,4.18e-02,4.14e+00
1.02e-03,3.25e+05,1.05e-03,1.04e-03,2.99e+05,-6.87e+00,47,3.91e+00,1.94e-01,4.18e-02,4.14e+00
1.01e-03,3.15e+05,1.04e-03,1.04e-03,2.88e+05,-6.87e+00,48,4.44e+00,1.96e-01,1.40e-01,4.78e+00
1.00e-03,3.08e+05,1.03e-03,1.05e-03,2.89e+05,-6.86e+00,49,4.70e+00,1.99e-01,4.94e-02,4.94e+00
9.93e-04,3.01e+05,1.02e-03,1.04e-03,2.87e+05,-6.87e+00,50,3.91e+00,1.95e-01,6.96e-02,4.17e+00
9.82e-04,2.95e+05,1.01e-03,1.04e-03,2.71e+05,-6.88e+00,51,3.91e+00,1.94e-01,3.32e-02,4.14e+00
9.75e-04,2.89e+05,1.00e-03,1.04e-03,2.71e+05,-6.87e+00,52,3.90e+00,1.94e-01,4.15e-02,4.14e+00
9.66e-04,2.81e+05,9.94e-04,1.03e-03,2.71e+05,-6.88e+00,53,3.90e+00,1.94e-01,5.11e-02,4.15e+00
