train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.03e-01,3.08e+08,1.03e-01,1.05e-02,1.63e+07,-4.56e+00,0,2.47e+00,1.24e-01,2.62e-02,2.62e+00
6.08e-03,9.09e+06,6.08e-03,3.99e-03,4.60e+06,-5.53e+00,1,2.44e+00,1.21e-01,2.82e-02,2.59e+00
3.60e-03,3.35e+06,3.60e-03,3.21e-03,2.46e+06,-5.75e+00,2,2.44e+00,1.23e-01,2.89e-02,2.60e+00
3.07e-03,2.25e+06,3.07e-03,2.68e-03,1.90e+06,-5.93e+00,3,2.45e+00,1.23e-01,2.82e-02,2.60e+00
2.72e-03,1.88e+06,2.72e-03,2.30e-03,1.67e+06,-6.08e+00,4,2.45e+00,1.22e-01,2.86e-02,2.60e+00
2.45e-03,1.71e+06,2.45e-03,2.14e-03,1.56e+06,-6.16e+00,5,2.46e+00,1.21e-01,2.74e-02,2.60e+00
2.26e-03,1.55e+06,2.26e-03,2.03e-03,1.39e+06,-6.21e+00,6,2.43e+00,1.21e-01,2.88e-02,2.58e+00
2.13e-03,1.41e+06,2.13e-03,1.94e-03,1.27e+06,-6.25e+00,7,2.45e+00,1.23e-01,2.88e-02,2.60e+00
2.05e-03,1.30e+06,2.05e-03,1.86e-03,1.19e+06,-6.30e+00,8,2.43e+00,1.22e-01,2.72e-02,2.58e+00
1.97e-03,1.22e+06,1.97e-03,1.82e-03,1.10e+06,-6.32e+00,9,2.43e+00,1.22e-01,2.72e-02,2.58e+00
1.93e-03,1.12e+06,1.93e-03,1.80e-03,1.07e+06,-6.33e+00,10,2.44e+00,1.21e-01,2.84e-02,2.59e+00
1.88e-03,1.06e+06,1.88e-03,1.77e-03,1.00e+06,-6.35e+00,11,2.43e+00,1.22e-01,2.85e-02,2.58e+00
1.84e-03,9.97e+05,1.84e-03,1.76e-03,9.58e+05,-6.35e+00,12,2.46e+00,1.21e-01,2.88e-02,2.61e+00
1.83e-03,9.61e+05,1.83e-03,1.78e-03,9.05e+05,-6.34e+00,13,2.46e+00,1.21e-01,2.24e-02,2.60e+00
1.81e-03,9.08e+05,1.81e-03,1.75e-03,8.75e+05,-6.36e+00,14,2.44e+00,1.22e-01,2.82e-02,2.59e+00
1.79e-03,8.81e+05,1.79e-03,1.72e-03,8.20e+05,-6.37e+00,15,2.46e+00,1.22e-01,2.88e-02,2.61e+00
1.77e-03,8.34e+05,1.77e-03,1.72e-03,8.18e+05,-6.37e+00,16,2.45e+00,1.22e-01,2.88e-02,2.60e+00
1.75e-03,8.19e+05,1.75e-03,1.76e-03,8.04e+05,-6.35e+00,17,2.46e+00,1.22e-01,2.37e-02,2.60e+00
1.73e-03,7.86e+05,1.73e-03,1.70e-03,7.95e+05,-6.39e+00,18,2.48e+00,1.23e-01,2.88e-02,2.63e+00
1.71e-03,7.60e+05,1.71e-03,1.63e-03,7.39e+05,-6.43e+00,19,2.45e+00,1.26e-01,2.80e-02,2.61e+00
1.69e-03,7.41e+05,1.69e-03,1.67e-03,7.28e+05,-6.40e+00,20,2.46e+00,1.22e-01,2.29e-02,2.61e+00
1.68e-03,7.16e+05,1.68e-03,1.66e-03,7.20e+05,-6.41e+00,21,2.47e+00,1.21e-01,2.37e-02,2.62e+00
1.67e-03,6.95e+05,1.67e-03,1.65e-03,6.88e+05,-6.42e+00,22,2.47e+00,1.25e-01,2.22e-02,2.62e+00
1.65e-03,6.78e+05,1.65e-03,1.66e-03,6.74e+05,-6.41e+00,23,3.74e+00,1.34e-01,9.25e-02,3.97e+00
