train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.07e-01,3.47e+08,1.07e-01,1.21e-02,7.22e+06,-4.41e+00,0,2.44e+00,1.22e-01,2.60e-02,2.59e+00
1.02e-02,7.18e+06,1.02e-02,6.72e-03,6.56e+06,-5.01e+00,1,2.41e+00,1.24e-01,2.68e-02,2.56e+00
5.62e-03,5.58e+06,5.62e-03,3.75e-03,3.76e+06,-5.59e+00,2,2.44e+00,1.19e-01,2.65e-02,2.59e+00
4.13e-03,3.51e+06,4.13e-03,3.14e-03,2.64e+06,-5.78e+00,3,2.41e+00,1.21e-01,2.84e-02,2.56e+00
3.64e-03,2.66e+06,3.64e-03,2.81e-03,2.01e+06,-5.89e+00,4,2.44e+00,1.20e-01,2.73e-02,2.58e+00
3.31e-03,2.18e+06,3.31e-03,2.65e-03,1.75e+06,-5.95e+00,5,2.44e+00,1.21e-01,2.87e-02,2.59e+00
3.06e-03,1.87e+06,3.06e-03,2.52e-03,1.57e+06,-6.00e+00,6,2.42e+00,1.18e-01,4.24e-02,2.58e+00
2.87e-03,1.66e+06,2.87e-03,2.42e-03,1.47e+06,-6.04e+00,7,2.43e+00,1.20e-01,5.24e-02,2.60e+00
2.72e-03,1.53e+06,2.72e-03,2.35e-03,1.39e+06,-6.07e+00,8,2.42e+00,1.21e-01,4.15e-02,2.58e+00
2.61e-03,1.48e+06,2.61e-03,2.27e-03,1.40e+06,-6.10e+00,9,2.43e+00,1.23e-01,4.47e-02,2.60e+00
2.51e-03,1.45e+06,2.51e-03,2.19e-03,1.38e+06,-6.14e+00,10,2.44e+00,1.22e-01,3.82e-02,2.60e+00
2.41e-03,1.41e+06,2.41e-03,2.14e-03,1.32e+06,-6.16e+00,11,2.76e+00,1.22e-01,2.17e-01,3.10e+00
2.32e-03,1.38e+06,2.32e-03,2.08e-03,1.35e+06,-6.19e+00,12,2.44e+00,1.20e-01,4.41e-02,2.60e+00
2.24e-03,1.35e+06,2.24e-03,2.03e-03,1.34e+06,-6.21e+00,13,2.42e+00,1.20e-01,4.36e-02,2.58e+00
2.15e-03,1.29e+06,2.15e-03,2.00e-03,1.32e+06,-6.22e+00,14,2.43e+00,1.19e-01,4.30e-02,2.59e+00
2.09e-03,1.25e+06,2.09e-03,2.00e-03,1.33e+06,-6.22e+00,15,2.45e+00,1.24e-01,3.16e-02,2.61e+00
2.02e-03,1.21e+06,2.02e-03,1.95e-03,1.31e+06,-6.25e+00,16,2.47e+00,1.20e-01,4.34e-02,2.64e+00
