train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
6.60e-02,1.75e+08,6.60e-02,4.02e-03,8.66e+06,-5.52e+00,0,2.93e+00,1.38e-01,9.68e-02,3.16e+00
3.37e-03,5.42e+06,3.37e-03,2.54e-03,3.71e+06,-5.98e+00,1,2.90e+00,1.38e-01,4.61e-02,3.08e+00
2.31e-03,2.86e+06,2.31e-03,1.90e-03,2.22e+06,-6.27e+00,2,2.89e+00,1.38e-01,3.94e-02,3.06e+00
1.84e-03,1.89e+06,1.84e-03,1.68e-03,1.57e+06,-6.39e+00,3,2.87e+00,1.38e-01,4.60e-02,3.06e+00
1.58e-03,1.39e+06,1.58e-03,1.53e-03,1.24e+06,-6.49e+00,4,2.89e+00,1.46e-01,9.33e-02,3.13e+00
1.39e-03,1.13e+06,1.39e-03,1.35e-03,1.02e+06,-6.61e+00,5,2.90e+00,1.38e-01,3.86e-02,3.07e+00
1.28e-03,9.78e+05,1.28e-03,1.22e-03,9.12e+05,-6.71e+00,6,2.88e+00,1.38e-01,4.61e-02,3.06e+00
1.21e-03,8.68e+05,1.21e-03,1.16e-03,8.14e+05,-6.77e+00,7,2.89e+00,1.38e-01,4.59e-02,3.07e+00
1.16e-03,7.76e+05,1.16e-03,1.11e-03,7.32e+05,-6.80e+00,8,2.88e+00,1.38e-01,4.63e-02,3.07e+00
1.11e-03,7.06e+05,1.11e-03,1.07e-03,6.83e+05,-6.84e+00,9,2.90e+00,1.39e-01,4.57e-02,3.09e+00
1.09e-03,6.57e+05,1.09e-03,1.04e-03,6.32e+05,-6.87e+00,10,2.89e+00,1.38e-01,3.93e-02,3.07e+00
1.06e-03,6.10e+05,1.06e-03,1.00e-03,5.82e+05,-6.91e+00,11,2.88e+00,1.39e-01,4.47e-02,3.06e+00
1.04e-03,5.80e+05,1.04e-03,9.87e-04,5.61e+05,-6.92e+00,12,2.89e+00,1.39e-01,3.86e-02,3.07e+00
1.03e-03,5.53e+05,1.03e-03,9.76e-04,5.58e+05,-6.94e+00,13,2.88e+00,1.38e-01,4.53e-02,3.06e+00
1.02e-03,5.29e+05,1.02e-03,9.51e-04,5.27e+05,-6.96e+00,14,2.90e+00,1.38e-01,4.64e-02,3.08e+00
1.00e-03,5.03e+05,1.00e-03,9.37e-04,5.21e+05,-6.98e+00,15,2.89e+00,1.39e-01,3.93e-02,3.06e+00
9.89e-04,4.88e+05,9.89e-04,9.18e-04,5.00e+05,-7.00e+00,16,2.88e+00,1.38e-01,4.52e-02,3.06e+00
9.74e-04,4.69e+05,9.74e-04,9.03e-04,4.79e+05,-7.01e+00,17,2.89e+00,1.39e-01,4.60e-02,3.07e+00
9.65e-04,4.52e+05,9.65e-04,9.01e-04,4.53e+05,-7.01e+00,18,2.89e+00,1.39e-01,3.86e-02,3.06e+00
9.56e-04,4.38e+05,9.56e-04,8.84e-04,4.34e+05,-7.03e+00,19,2.88e+00,1.39e-01,4.37e-02,3.06e+00
9.42e-04,4.21e+05,9.42e-04,8.73e-04,4.18e+05,-7.05e+00,20,2.89e+00,1.39e-01,4.68e-02,3.07e+00
9.29e-04,4.06e+05,9.29e-04,8.72e-04,3.92e+05,-7.05e+00,21,2.89e+00,1.38e-01,3.87e-02,3.07e+00
9.20e-04,3.97e+05,9.20e-04,8.64e-04,3.71e+05,-7.06e+00,22,2.88e+00,1.39e-01,4.52e-02,3.06e+00
9.12e-04,3.86e+05,9.12e-04,8.65e-04,3.59e+05,-7.06e+00,23,2.89e+00,1.39e-01,3.28e-02,3.06e+00
9.02e-04,3.73e+05,9.02e-04,8.66e-04,3.64e+05,-7.06e+00,24,2.90e+00,1.38e-01,3.29e-02,3.07e+00
8.97e-04,3.62e+05,8.97e-04,8.59e-04,3.50e+05,-7.06e+00,25,2.88e+00,1.39e-01,4.70e-02,3.07e+00
8.91e-04,3.59e+05,8.91e-04,8.60e-04,3.44e+05,-7.06e+00,26,2.89e+00,1.38e-01,3.30e-02,3.07e+00
8.86e-04,3.46e+05,8.86e-04,8.65e-04,3.23e+05,-7.06e+00,27,2.90e+00,1.39e-01,3.28e-02,3.07e+00
8.81e-04,3.40e+05,8.81e-04,8.59e-04,3.28e+05,-7.06e+00,28,2.90e+00,1.38e-01,3.28e-02,3.07e+00
8.75e-04,3.34e+05,8.75e-04,8.55e-04,3.12e+05,-7.07e+00,29,2.90e+00,1.39e-01,4.52e-02,3.08e+00
8.73e-04,3.29e+05,8.73e-04,8.43e-04,3.13e+05,-7.08e+00,30,2.89e+00,1.39e-01,3.90e-02,3.07e+00
8.76e-04,3.26e+05,8.76e-04,8.37e-04,3.14e+05,-7.09e+00,31,2.88e+00,1.39e-01,3.89e-02,3.06e+00
8.76e-04,3.22e+05,8.76e-04,8.36e-04,3.05e+05,-7.09e+00,32,2.89e+00,1.39e-01,4.72e-02,3.07e+00
8.72e-04,3.17e+05,8.72e-04,8.41e-04,3.01e+05,-7.08e+00,33,2.90e+00,1.39e-01,3.30e-02,3.07e+00
8.66e-04,3.08e+05,8.66e-04,8.49e-04,2.94e+05,-7.07e+00,34,2.90e+00,1.38e-01,3.30e-02,3.07e+00
8.59e-04,3.00e+05,8.59e-04,8.48e-04,2.89e+05,-7.08e+00,35,2.90e+00,1.39e-01,3.31e-02,3.07e+00
8.52e-04,2.96e+05,8.52e-04,8.51e-04,2.91e+05,-7.07e+00,36,2.90e+00,1.38e-01,3.28e-02,3.07e+00
8.46e-04,2.90e+05,8.46e-04,8.45e-04,2.79e+05,-7.08e+00,37,2.90e+00,1.38e-01,3.29e-02,3.07e+00
