train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
4.79e-02,1.54e+08,4.79e-02,3.65e-03,7.33e+06,-5.62e+00,0,2.96e+00,1.39e-01,2.72e-02,3.12e+00
3.12e-03,4.74e+06,3.12e-03,2.20e-03,2.92e+06,-6.13e+00,1,2.88e+00,1.39e-01,3.00e-02,3.05e+00
2.08e-03,2.42e+06,2.08e-03,1.52e-03,1.81e+06,-6.49e+00,2,2.88e+00,1.39e-01,2.96e-02,3.05e+00
1.60e-03,1.66e+06,1.60e-03,1.46e-03,1.37e+06,-6.53e+00,3,2.88e+00,1.39e-01,2.98e-02,3.05e+00
1.39e-03,1.28e+06,1.39e-03,1.22e-03,1.12e+06,-6.71e+00,4,2.88e+00,1.39e-01,2.99e-02,3.05e+00
1.26e-03,1.07e+06,1.26e-03,1.11e-03,9.46e+05,-6.81e+00,5,2.89e+00,1.39e-01,2.99e-02,3.06e+00
1.16e-03,9.21e+05,1.16e-03,1.07e-03,8.90e+05,-6.84e+00,6,2.88e+00,1.39e-01,2.96e-02,3.05e+00
1.10e-03,8.09e+05,1.10e-03,1.08e-03,7.62e+05,-6.83e+00,7,2.88e+00,1.39e-01,2.50e-02,3.05e+00
1.06e-03,7.35e+05,1.06e-03,1.06e-03,6.52e+05,-6.85e+00,8,2.88e+00,1.41e-01,3.02e-02,3.05e+00
1.03e-03,6.69e+05,1.03e-03,1.03e-03,6.03e+05,-6.88e+00,9,2.89e+00,1.39e-01,3.00e-02,3.06e+00
1.01e-03,6.19e+05,1.01e-03,9.99e-04,5.98e+05,-6.91e+00,10,2.88e+00,1.39e-01,3.05e-02,3.05e+00
9.83e-04,5.81e+05,9.83e-04,9.65e-04,5.81e+05,-6.95e+00,11,2.88e+00,1.40e-01,3.01e-02,3.05e+00
9.59e-04,5.49e+05,9.59e-04,9.59e-04,5.77e+05,-6.95e+00,12,2.89e+00,1.43e-01,3.01e-02,3.06e+00
9.38e-04,5.24e+05,9.38e-04,9.43e-04,5.84e+05,-6.97e+00,13,2.90e+00,1.40e-01,3.02e-02,3.07e+00
9.24e-04,5.14e+05,9.24e-04,9.25e-04,5.66e+05,-6.99e+00,14,2.89e+00,1.41e-01,3.01e-02,3.06e+00
9.05e-04,4.83e+05,9.05e-04,9.05e-04,5.38e+05,-7.01e+00,15,2.90e+00,1.39e-01,2.98e-02,3.07e+00
8.90e-04,4.75e+05,8.90e-04,8.74e-04,5.05e+05,-7.04e+00,16,2.88e+00,1.39e-01,3.00e-02,3.05e+00
