train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.37e-01,3.18e+08,1.37e-01,9.81e-03,1.30e+07,-4.63e+00,0,1.58e+01,2.73e-01,1.19e-01,1.62e+01
5.60e-03,6.70e+06,5.60e-03,4.01e-03,4.17e+06,-5.53e+00,1,2.59e+00,1.27e-01,1.13e-01,2.82e+00
3.53e-03,2.83e+06,3.53e-03,3.17e-03,2.29e+06,-5.76e+00,2,2.55e+00,1.22e-01,2.93e-02,2.70e+00
3.14e-03,1.83e+06,3.14e-03,2.89e-03,1.62e+06,-5.86e+00,3,2.54e+00,1.27e-01,1.20e-01,2.79e+00
2.92e-03,1.38e+06,2.92e-03,2.84e-03,1.35e+06,-5.88e+00,4,2.53e+00,1.22e-01,1.05e-01,2.76e+00
2.77e-03,1.17e+06,2.77e-03,2.74e-03,1.19e+06,-5.91e+00,5,2.53e+00,1.23e-01,4.30e-02,2.70e+00
2.68e-03,1.07e+06,2.68e-03,2.67e-03,1.10e+06,-5.93e+00,6,2.54e+00,1.28e-01,2.85e-02,2.69e+00
2.57e-03,9.97e+05,2.57e-03,2.48e-03,1.06e+06,-6.01e+00,7,2.61e+00,1.30e-01,8.20e-02,2.83e+00
2.41e-03,9.79e+05,2.41e-03,2.27e-03,1.05e+06,-6.09e+00,8,2.72e+00,1.30e-01,2.92e-02,2.88e+00
2.21e-03,9.46e+05,2.21e-03,2.09e-03,9.84e+05,-6.17e+00,9,2.82e+00,1.47e-01,4.15e-02,3.00e+00
2.06e-03,8.82e+05,2.06e-03,2.00e-03,9.30e+05,-6.22e+00,10,2.70e+00,1.35e-01,1.13e-01,2.95e+00
1.96e-03,8.30e+05,1.96e-03,1.94e-03,8.75e+05,-6.25e+00,11,2.75e+00,1.31e-01,1.08e-01,2.99e+00
1.91e-03,7.88e+05,1.91e-03,1.89e-03,8.54e+05,-6.28e+00,12,2.82e+00,1.35e-01,1.14e-01,3.07e+00
1.87e-03,7.50e+05,1.87e-03,1.89e-03,8.27e+05,-6.28e+00,13,2.74e+00,1.32e-01,3.64e-02,2.91e+00
1.83e-03,7.19e+05,1.83e-03,1.88e-03,7.57e+05,-6.29e+00,14,2.76e+00,1.32e-01,4.18e-02,2.94e+00
1.81e-03,6.94e+05,1.81e-03,1.86e-03,7.41e+05,-6.30e+00,15,2.76e+00,1.25e-01,1.13e-01,3.00e+00
1.78e-03,6.71e+05,1.78e-03,1.78e-03,7.19e+05,-6.34e+00,16,2.65e+00,1.27e-01,1.13e-01,2.89e+00
1.75e-03,6.55e+05,1.75e-03,1.74e-03,6.64e+05,-6.36e+00,17,2.61e+00,1.32e-01,1.13e-01,2.85e+00
1.73e-03,6.48e+05,1.73e-03,1.70e-03,6.57e+05,-6.39e+00,18,2.61e+00,1.28e-01,2.99e-02,2.77e+00
1.71e-03,6.32e+05,1.71e-03,1.64e-03,6.34e+05,-6.42e+00,19,2.64e+00,1.30e-01,2.91e-02,2.79e+00
1.69e-03,6.22e+05,1.69e-03,1.62e-03,6.52e+05,-6.43e+00,20,2.66e+00,1.36e-01,2.91e-02,2.83e+00
1.67e-03,6.09e+05,1.67e-03,1.60e-03,6.48e+05,-6.44e+00,21,2.59e+00,1.24e-01,2.97e-02,2.74e+00
1.66e-03,6.07e+05,1.66e-03,1.61e-03,6.88e+05,-6.44e+00,22,2.61e+00,1.29e-01,2.39e-02,2.76e+00
1.65e-03,6.02e+05,1.65e-03,1.61e-03,6.78e+05,-6.44e+00,23,2.61e+00,1.24e-01,2.37e-02,2.76e+00
1.62e-03,5.91e+05,1.62e-03,1.64e-03,6.89e+05,-6.42e+00,24,2.56e+00,1.28e-01,6.61e-02,2.76e+00
1.60e-03,5.85e+05,1.60e-03,1.63e-03,6.78e+05,-6.42e+00,25,2.55e+00,1.24e-01,1.06e-01,2.78e+00
1.59e-03,5.79e+05,1.59e-03,1.61e-03,6.54e+05,-6.44e+00,26,2.56e+00,1.22e-01,1.03e-01,2.78e+00
1.58e-03,5.73e+05,1.58e-03,1.64e-03,6.23e+05,-6.42e+00,27,2.54e+00,1.24e-01,1.08e-01,2.78e+00
1.56e-03,5.67e+05,1.56e-03,1.63e-03,5.82e+05,-6.42e+00,28,2.55e+00,1.29e-01,1.13e-01,2.80e+00
1.54e-03,5.50e+05,1.54e-03,1.60e-03,5.40e+05,-6.44e+00,29,2.54e+00,1.23e-01,2.78e-02,2.69e+00
1.52e-03,5.42e+05,1.52e-03,1.60e-03,5.46e+05,-6.45e+00,30,2.54e+00,1.22e-01,1.11e-01,2.78e+00
1.50e-03,5.36e+05,1.50e-03,1.59e-03,5.22e+05,-6.45e+00,31,2.54e+00,1.29e-01,1.26e-01,2.80e+00
1.49e-03,5.23e+05,1.49e-03,1.57e-03,4.98e+05,-6.46e+00,32,2.55e+00,1.23e-01,2.94e-02,2.70e+00
1.46e-03,5.09e+05,1.46e-03,1.55e-03,5.04e+05,-6.47e+00,33,2.55e+00,1.24e-01,1.18e-01,2.79e+00
1.45e-03,4.97e+05,1.45e-03,1.50e-03,4.68e+05,-6.51e+00,34,2.55e+00,1.29e-01,1.11e-01,2.79e+00
1.42e-03,4.94e+05,1.42e-03,1.49e-03,4.72e+05,-6.52e+00,35,2.64e+00,1.30e-01,1.18e-01,2.89e+00
1.42e-03,4.85e+05,1.42e-03,1.45e-03,4.58e+05,-6.54e+00,36,2.74e+00,1.31e-01,2.93e-02,2.90e+00
1.40e-03,4.73e+05,1.40e-03,1.44e-03,4.43e+05,-6.55e+00,37,2.82e+00,1.47e-01,8.63e-02,3.05e+00
1.39e-03,4.71e+05,1.39e-03,1.40e-03,4.30e+05,-6.58e+00,38,2.69e+00,1.31e-01,7.96e-02,2.90e+00
1.37e-03,4.59e+05,1.37e-03,1.37e-03,4.22e+05,-6.60e+00,39,2.75e+00,1.31e-01,1.12e-01,2.99e+00
1.36e-03,4.53e+05,1.36e-03,1.35e-03,4.12e+05,-6.62e+00,40,2.79e+00,1.29e-01,2.87e-02,2.95e+00
1.35e-03,4.44e+05,1.35e-03,1.32e-03,4.05e+05,-6.63e+00,41,2.73e+00,1.34e-01,1.14e-01,2.98e+00
1.33e-03,4.34e+05,1.33e-03,1.31e-03,4.07e+05,-6.65e+00,42,2.81e+00,1.33e-01,1.13e-01,3.05e+00
1.32e-03,4.27e+05,1.32e-03,1.29e-03,4.06e+05,-6.65e+00,43,2.78e+00,1.25e-01,2.88e-02,2.93e+00
1.31e-03,4.19e+05,1.31e-03,1.28e-03,4.04e+05,-6.67e+00,44,2.63e+00,1.21e-01,2.82e-02,2.78e+00
1.30e-03,4.15e+05,1.30e-03,1.26e-03,3.97e+05,-6.68e+00,45,2.51e+00,1.21e-01,1.02e-01,2.74e+00
1.28e-03,4.09e+05,1.28e-03,1.24e-03,3.87e+05,-6.70e+00,46,2.51e+00,1.24e-01,2.97e-02,2.66e+00
1.27e-03,3.99e+05,1.27e-03,1.23e-03,3.92e+05,-6.70e+00,47,2.50e+00,1.23e-01,1.19e-01,2.75e+00
1.26e-03,3.97e+05,1.26e-03,1.21e-03,3.70e+05,-6.72e+00,48,2.51e+00,1.26e-01,1.17e-01,2.75e+00
1.25e-03,3.91e+05,1.25e-03,1.21e-03,3.83e+05,-6.72e+00,49,2.53e+00,1.24e-01,1.09e-01,2.77e+00
1.24e-03,3.81e+05,1.24e-03,1.21e-03,3.71e+05,-6.72e+00,50,2.53e+00,1.21e-01,9.72e-02,2.75e+00
1.23e-03,3.77e+05,1.23e-03,1.20e-03,3.51e+05,-6.73e+00,51,2.52e+00,1.21e-01,1.31e-01,2.77e+00
1.22e-03,3.73e+05,1.22e-03,1.19e-03,3.58e+05,-6.73e+00,52,2.51e+00,1.26e-01,1.08e-01,2.74e+00
1.21e-03,3.68e+05,1.21e-03,1.19e-03,3.52e+05,-6.74e+00,53,2.55e+00,1.21e-01,1.12e-01,2.78e+00
1.21e-03,3.63e+05,1.21e-03,1.19e-03,3.63e+05,-6.74e+00,54,2.56e+00,1.23e-01,1.17e-01,2.80e+00
1.20e-03,3.59e+05,1.20e-03,1.18e-03,3.58e+05,-6.75e+00,55,2.62e+00,1.34e-01,1.26e-01,2.88e+00
1.19e-03,3.54e+05,1.19e-03,1.17e-03,3.38e+05,-6.75e+00,56,2.63e+00,1.24e-01,1.15e-01,2.86e+00
1.19e-03,3.50e+05,1.19e-03,1.15e-03,3.26e+05,-6.77e+00,57,2.63e+00,1.32e-01,4.40e-02,2.81e+00
1.18e-03,3.48e+05,1.18e-03,1.14e-03,3.20e+05,-6.78e+00,58,2.60e+00,1.24e-01,1.19e-01,2.84e+00
1.17e-03,3.46e+05,1.17e-03,1.14e-03,3.20e+05,-6.78e+00,59,2.50e+00,1.25e-01,1.16e-01,2.74e+00
