train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.20e+00,1.28e+08,1.28e+07,1.08e+00,1.34e+06,1.48e+00,0,1.62e+01,3.82e-01,1.10e-01,1.67e+01
9.77e-01,9.26e+05,9.26e+04,8.83e-01,7.07e+05,1.22e+00,1,4.27e+00,2.04e-01,4.03e-02,4.51e+00
8.01e-01,6.16e+05,6.16e+04,7.24e-01,5.45e+05,9.98e-01,2,4.26e+00,2.05e-01,4.06e-02,4.51e+00
6.60e-01,4.99e+05,4.99e+04,6.02e-01,4.59e+05,7.96e-01,3,4.28e+00,2.04e-01,4.06e-02,4.52e+00
5.55e-01,4.28e+05,4.28e+04,5.13e-01,3.98e+05,6.23e-01,4,4.31e+00,2.04e-01,9.14e-02,4.60e+00
4.81e-01,3.74e+05,3.74e+04,4.53e-01,3.50e+05,4.85e-01,5,4.30e+00,2.04e-01,6.46e-02,4.57e+00
4.33e-01,3.30e+05,3.30e+04,4.15e-01,3.12e+05,3.85e-01,6,4.52e+00,2.26e-01,4.89e-02,4.80e+00
4.02e-01,2.95e+05,2.95e+04,3.92e-01,2.79e+05,3.18e-01,7,4.37e+00,2.04e-01,4.73e-02,4.62e+00
3.86e-01,2.64e+05,2.64e+04,3.80e-01,2.50e+05,2.76e-01,8,4.44e+00,2.14e-01,4.13e-02,4.69e+00
3.77e-01,2.37e+05,2.37e+04,3.75e-01,2.25e+05,2.51e-01,9,4.61e+00,2.23e-01,4.72e-02,4.88e+00
3.73e-01,2.14e+05,2.14e+04,3.73e-01,2.03e+05,2.36e-01,10,4.51e+00,2.11e-01,4.69e-02,4.77e+00
3.73e-01,1.93e+05,1.93e+04,3.73e-01,1.84e+05,2.26e-01,11,4.53e+00,2.13e-01,4.67e-02,4.79e+00
3.73e-01,1.76e+05,1.76e+04,3.74e-01,1.68e+05,2.19e-01,12,4.54e+00,2.20e-01,4.74e-02,4.81e+00
3.74e-01,1.69e+05,1.69e+04,3.75e-01,1.75e+05,2.26e-01,13,4.61e+00,2.29e-01,4.10e-02,4.88e+00
3.75e-01,1.71e+05,1.71e+04,3.76e-01,1.81e+05,2.33e-01,14,4.57e+00,2.07e-01,3.95e-02,4.82e+00
3.77e-01,1.90e+05,1.90e+04,3.77e-01,1.63e+05,2.25e-01,15,4.42e+00,2.05e-01,3.92e-02,4.66e+00
3.62e-01,9.48e+06,9.48e+05,3.44e-01,1.23e+06,3.36e-01,16,4.62e+00,2.16e-01,4.09e-02,4.87e+00
3.46e-01,9.83e+05,9.83e+04,3.48e-01,8.34e+05,3.06e-01,17,4.64e+00,2.19e-01,3.91e-02,4.90e+00
3.48e-01,7.63e+05,7.63e+04,3.49e-01,7.08e+05,2.95e-01,18,4.52e+00,2.05e-01,4.17e-02,4.77e+00
3.50e-01,6.69e+05,6.69e+04,3.51e-01,6.34e+05,2.88e-01,19,4.27e+00,2.04e-01,3.91e-02,4.52e+00
3.51e-01,6.07e+05,6.07e+04,3.52e-01,5.80e+05,2.83e-01,20,4.26e+00,2.04e-01,3.36e-02,4.50e+00
3.52e-01,5.56e+05,5.56e+04,3.53e-01,5.34e+05,2.78e-01,21,4.28e+00,2.15e-01,3.94e-02,4.54e+00
3.54e-01,5.15e+05,5.15e+04,3.55e-01,4.96e+05,2.75e-01,22,4.50e+00,2.06e-01,3.93e-02,4.75e+00
3.55e-01,4.79e+05,4.79e+04,3.56e-01,4.62e+05,2.71e-01,23,4.56e+00,2.15e-01,3.93e-02,4.81e+00
3.57e-01,4.46e+05,4.46e+04,3.57e-01,4.30e+05,2.68e-01,24,4.48e+00,2.15e-01,4.29e-02,4.74e+00
3.58e-01,4.14e+05,4.14e+04,3.59e-01,3.98e+05,2.65e-01,25,4.53e+00,2.13e-01,4.88e-02,4.79e+00
3.60e-01,3.83e+05,3.83e+04,3.61e-01,3.67e+05,2.61e-01,26,4.59e+00,2.18e-01,4.41e-02,4.85e+00
3.61e-01,3.52e+05,3.52e+04,3.62e-01,3.36e+05,2.57e-01,27,4.53e+00,2.18e-01,4.53e-02,4.79e+00
3.63e-01,3.21e+05,3.21e+04,3.64e-01,3.05e+05,2.52e-01,28,4.44e+00,2.08e-01,4.56e-02,4.69e+00
3.65e-01,2.90e+05,2.90e+04,3.66e-01,2.76e+05,2.48e-01,29,4.54e+00,2.13e-01,4.96e-02,4.80e+00
