train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.96e-03,1.25e+06,2.08e-03,1.97e-03,1.14e+06,-6.24e+00,8,4.94e+00,2.39e-01,3.93e-02,5.22e+00
1.87e-03,1.09e+06,1.98e-03,1.96e-03,1.01e+06,-6.24e+00,9,4.95e+00,2.30e-01,4.38e-02,5.23e+00
1.81e-03,9.98e+05,1.91e-03,1.93e-03,9.53e+05,-6.26e+00,10,4.97e+00,2.34e-01,4.34e-02,5.25e+00
1.75e-03,9.23e+05,1.84e-03,1.98e-03,9.42e+05,-6.23e+00,11,5.62e+00,2.34e-01,6.92e-02,5.92e+00
1.70e-03,8.88e+05,1.79e-03,1.96e-03,8.84e+05,-6.24e+00,12,4.81e+00,2.29e-01,3.53e-02,5.07e+00
1.65e-03,8.45e+05,1.73e-03,1.93e-03,8.67e+05,-6.26e+00,13,5.01e+00,2.45e-01,3.65e-02,5.30e+00
1.60e-03,8.20e+05,1.68e-03,1.92e-03,8.74e+05,-6.26e+00,14,5.06e+00,2.48e-01,4.47e-02,5.35e+00
1.54e-03,7.86e+05,1.62e-03,1.92e-03,8.35e+05,-6.26e+00,15,5.43e+00,2.30e-01,1.20e-01,5.78e+00
1.48e-03,7.69e+05,1.56e-03,1.84e-03,8.60e+05,-6.30e+00,16,5.38e+00,2.49e-01,6.57e-02,5.69e+00
1.42e-03,7.40e+05,1.50e-03,1.78e-03,8.52e+05,-6.33e+00,17,5.50e+00,2.58e-01,4.69e-02,5.80e+00
1.37e-03,7.05e+05,1.44e-03,1.75e-03,7.92e+05,-6.35e+00,18,5.12e+00,2.40e-01,4.51e-02,5.40e+00
1.33e-03,6.85e+05,1.40e-03,1.66e-03,7.51e+05,-6.40e+00,19,4.95e+00,2.27e-01,4.29e-02,5.22e+00
1.29e-03,6.53e+05,1.35e-03,1.56e-03,7.12e+05,-6.47e+00,20,4.82e+00,2.30e-01,5.06e-02,5.10e+00
1.25e-03,6.33e+05,1.31e-03,1.49e-03,6.90e+05,-6.51e+00,21,4.79e+00,2.29e-01,4.29e-02,5.07e+00
1.23e-03,6.12e+05,1.29e-03,1.44e-03,6.55e+05,-6.54e+00,22,4.79e+00,2.18e-01,4.19e-02,5.05e+00
1.20e-03,5.95e+05,1.26e-03,1.39e-03,6.30e+05,-6.58e+00,23,4.79e+00,2.34e-01,4.54e-02,5.07e+00
1.18e-03,5.71e+05,1.24e-03,1.34e-03,6.06e+05,-6.62e+00,24,4.90e+00,2.27e-01,4.53e-02,5.17e+00
1.17e-03,5.62e+05,1.22e-03,1.22e-03,5.63e+05,-6.72e+00,25,4.80e+00,2.23e-01,4.20e-02,5.06e+00
1.14e-03,5.32e+05,1.20e-03,1.17e-03,5.49e+05,-6.75e+00,26,4.82e+00,2.29e-01,4.22e-02,5.09e+00
1.12e-03,5.18e+05,1.17e-03,1.14e-03,5.40e+05,-6.78e+00,27,4.80e+00,2.23e-01,4.24e-02,5.07e+00
1.10e-03,5.02e+05,1.15e-03,1.13e-03,5.49e+05,-6.79e+00,28,4.81e+00,2.28e-01,4.28e-02,5.09e+00
1.08e-03,4.87e+05,1.13e-03,1.12e-03,5.38e+05,-6.80e+00,29,4.81e+00,2.28e-01,4.25e-02,5.08e+00
1.07e-03,4.69e+05,1.12e-03,1.08e-03,5.48e+05,-6.83e+00,30,4.80e+00,2.24e-01,4.30e-02,5.06e+00
1.04e-03,4.51e+05,1.09e-03,1.08e-03,5.57e+05,-6.84e+00,31,4.82e+00,2.26e-01,4.21e-02,5.08e+00
1.03e-03,4.40e+05,1.07e-03,1.06e-03,5.68e+05,-6.85e+00,32,4.82e+00,2.25e-01,4.21e-02,5.09e+00
1.01e-03,4.24e+05,1.06e-03,1.05e-03,5.88e+05,-6.86e+00,33,4.81e+00,2.35e-01,4.39e-02,5.09e+00
1.00e-03,4.13e+05,1.04e-03,1.01e-03,5.50e+05,-6.90e+00,34,4.80e+00,2.28e-01,4.23e-02,5.07e+00
9.86e-04,3.98e+05,1.03e-03,1.01e-03,5.47e+05,-6.91e+00,35,4.78e+00,2.19e-01,4.23e-02,5.05e+00
9.78e-04,3.88e+05,1.02e-03,1.00e-03,5.37e+05,-6.91e+00,36,4.82e+00,2.28e-01,4.68e-02,5.09e+00
9.57e-04,3.77e+05,9.95e-04,9.93e-04,5.58e+05,-6.92e+00,37,4.79e+00,2.22e-01,4.23e-02,5.05e+00
9.45e-04,3.70e+05,9.82e-04,9.79e-04,5.07e+05,-6.93e+00,38,4.43e+00,2.07e-01,4.23e-02,4.68e+00
9.31e-04,3.55e+05,9.67e-04,9.76e-04,4.90e+05,-6.93e+00,39,4.76e+00,2.21e-01,4.19e-02,5.02e+00
9.29e-04,3.51e+05,9.64e-04,9.57e-04,4.87e+05,-6.95e+00,40,4.72e+00,2.18e-01,4.28e-02,4.98e+00
9.06e-04,3.41e+05,9.40e-04,9.46e-04,4.65e+05,-6.97e+00,41,4.81e+00,2.32e-01,4.54e-02,5.08e+00
8.95e-04,3.33e+05,9.28e-04,9.34e-04,4.57e+05,-6.98e+00,42,4.85e+00,2.34e-01,4.34e-02,5.13e+00
8.89e-04,3.26e+05,9.21e-04,9.25e-04,4.66e+05,-6.99e+00,43,4.84e+00,2.34e-01,4.39e-02,5.12e+00
8.83e-04,3.26e+05,9.15e-04,9.17e-04,4.88e+05,-7.00e+00,44,4.87e+00,2.34e-01,4.51e-02,5.15e+00
8.72e-04,3.17e+05,9.03e-04,9.01e-04,4.67e+05,-7.01e+00,45,4.84e+00,2.30e-01,4.28e-02,5.12e+00
8.63e-04,3.16e+05,8.94e-04,8.81e-04,4.41e+05,-7.04e+00,46,4.81e+00,2.33e-01,4.63e-02,5.09e+00
8.56e-04,3.13e+05,8.88e-04,8.68e-04,4.47e+05,-7.05e+00,47,4.86e+00,2.28e-01,4.33e-02,5.14e+00
8.47e-04,3.08e+05,8.77e-04,8.60e-04,4.33e+05,-7.06e+00,48,4.92e+00,2.29e-01,4.33e-02,5.19e+00
8.52e-04,3.08e+05,8.83e-04,8.34e-04,4.22e+05,-7.09e+00,49,4.90e+00,2.29e-01,4.30e-02,5.17e+00
8.31e-04,2.98e+05,8.61e-04,8.17e-04,3.88e+05,-7.11e+00,50,4.90e+00,2.29e-01,4.40e-02,5.17e+00
8.27e-04,2.91e+05,8.56e-04,8.11e-04,3.78e+05,-7.12e+00,51,4.83e+00,2.24e-01,4.22e-02,5.09e+00
8.23e-04,2.92e+05,8.53e-04,7.98e-04,3.81e+05,-7.14e+00,52,4.75e+00,2.23e-01,4.19e-02,5.02e+00
8.09e-04,2.86e+05,8.38e-04,7.95e-04,3.72e+05,-7.14e+00,53,4.71e+00,2.30e-01,4.22e-02,4.99e+00
8.04e-04,2.84e+05,8.32e-04,7.80e-04,3.93e+05,-7.16e+00,54,5.07e+00,2.54e-01,4.64e-02,5.37e+00
7.96e-04,2.78e+05,8.23e-04,7.86e-04,3.71e+05,-7.15e+00,55,5.15e+00,2.58e-01,4.35e-02,5.45e+00
7.94e-04,2.76e+05,8.22e-04,7.73e-04,3.62e+05,-7.17e+00,56,5.34e+00,2.54e-01,4.55e-02,5.64e+00
7.84e-04,2.69e+05,8.11e-04,7.81e-04,3.84e+05,-7.16e+00,57,5.23e+00,2.29e-01,3.54e-02,5.49e+00
7.77e-04,2.64e+05,8.04e-04,7.69e-04,3.67e+05,-7.17e+00,58,4.75e+00,2.27e-01,4.68e-02,5.02e+00
7.73e-04,2.62e+05,7.99e-04,7.76e-04,3.74e+05,-7.16e+00,59,4.73e+00,2.18e-01,3.48e-02,4.98e+00
7.69e-04,2.60e+05,7.95e-04,7.64e-04,3.27e+05,-7.18e+00,60,4.75e+00,2.21e-01,4.27e-02,5.01e+00
7.63e-04,2.56e+05,7.88e-04,7.68e-04,3.31e+05,-7.18e+00,61,4.75e+00,2.22e-01,3.49e-02,5.00e+00
7.59e-04,2.54e+05,7.85e-04,7.67e-04,3.27e+05,-7.18e+00,62,4.75e+00,2.29e-01,3.52e-02,5.02e+00
7.58e-04,2.50e+05,7.83e-04,7.52e-04,3.03e+05,-7.20e+00,63,4.76e+00,2.24e-01,4.21e-02,5.03e+00
7.51e-04,2.48e+05,7.76e-04,7.45e-04,2.87e+05,-7.20e+00,64,4.75e+00,2.24e-01,4.21e-02,5.02e+00
7.46e-04,2.43e+05,7.70e-04,7.46e-04,2.80e+05,-7.20e+00,65,4.74e+00,2.23e-01,3.49e-02,5.00e+00
7.40e-04,2.39e+05,7.64e-04,7.37e-04,2.57e+05,-7.22e+00,66,4.77e+00,2.30e-01,4.42e-02,5.05e+00
7.34e-04,2.36e+05,7.58e-04,7.26e-04,2.58e+05,-7.23e+00,67,4.78e+00,2.30e-01,4.24e-02,5.05e+00
7.34e-04,2.30e+05,7.57e-04,7.30e-04,2.52e+05,-7.23e+00,68,4.75e+00,2.23e-01,3.50e-02,5.01e+00
7.31e-04,2.31e+05,7.54e-04,7.09e-04,2.31e+05,-7.25e+00,69,4.76e+00,2.23e-01,4.27e-02,5.02e+00
7.25e-04,2.27e+05,7.48e-04,7.12e-04,2.21e+05,-7.25e+00,70,4.76e+00,2.24e-01,3.58e-02,5.02e+00
7.23e-04,2.24e+05,7.46e-04,7.02e-04,2.13e+05,-7.26e+00,71,4.75e+00,2.30e-01,4.23e-02,5.03e+00
7.20e-04,2.20e+05,7.42e-04,7.17e-04,2.11e+05,-7.24e+00,72,4.74e+00,2.30e-01,3.48e-02,5.01e+00
7.16e-04,2.16e+05,7.38e-04,7.14e-04,2.05e+05,-7.25e+00,73,4.73e+00,2.25e-01,3.50e-02,4.99e+00
7.17e-04,2.14e+05,7.38e-04,7.12e-04,1.97e+05,-7.25e+00,74,4.73e+00,2.24e-01,3.47e-02,4.99e+00
7.14e-04,2.10e+05,7.35e-04,6.93e-04,2.00e+05,-7.28e+00,75,4.74e+00,2.21e-01,4.24e-02,5.00e+00
7.08e-04,2.08e+05,7.28e-04,6.79e-04,1.95e+05,-7.30e+00,76,4.72e+00,2.19e-01,4.21e-02,4.99e+00
7.04e-04,2.04e+05,7.24e-04,6.75e-04,1.88e+05,-7.30e+00,77,4.75e+00,2.22e-01,4.21e-02,5.02e+00
6.95e-04,2.01e+05,7.15e-04,6.66e-04,1.87e+05,-7.32e+00,78,4.75e+00,2.18e-01,4.51e-02,5.01e+00
6.91e-04,2.01e+05,7.11e-04,6.67e-04,1.87e+05,-7.32e+00,79,4.75e+00,2.28e-01,3.59e-02,5.02e+00
6.86e-04,1.97e+05,7.06e-04,6.57e-04,1.88e+05,-7.33e+00,80,4.92e+00,2.33e-01,4.98e-02,5.20e+00
6.85e-04,1.96e+05,7.04e-04,6.56e-04,1.82e+05,-7.33e+00,81,4.89e+00,2.34e-01,4.28e-02,5.16e+00
6.82e-04,1.94e+05,7.01e-04,6.61e-04,1.91e+05,-7.32e+00,82,4.88e+00,2.30e-01,3.55e-02,5.14e+00
6.83e-04,1.93e+05,7.02e-04,6.53e-04,1.86e+05,-7.34e+00,83,4.86e+00,2.28e-01,4.36e-02,5.13e+00
6.79e-04,1.90e+05,6.98e-04,6.50e-04,1.83e+05,-7.34e+00,84,4.88e+00,2.26e-01,4.19e-02,5.14e+00
6.75e-04,1.90e+05,6.94e-04,6.46e-04,1.82e+05,-7.35e+00,85,4.83e+00,2.22e-01,4.25e-02,5.10e+00
6.72e-04,1.86e+05,6.90e-04,6.44e-04,1.83e+05,-7.35e+00,86,4.92e+00,2.37e-01,4.32e-02,5.20e+00
6.68e-04,1.85e+05,6.87e-04,6.45e-04,1.83e+05,-7.35e+00,87,5.64e+00,2.35e-01,3.95e-02,5.91e+00
6.65e-04,1.84e+05,6.84e-04,6.39e-04,1.75e+05,-7.36e+00,88,4.91e+00,2.28e-01,4.36e-02,5.18e+00
6.62e-04,1.83e+05,6.81e-04,6.36e-04,1.71e+05,-7.36e+00,89,4.90e+00,2.21e-01,4.21e-02,5.17e+00
6.58e-04,1.82e+05,6.76e-04,6.36e-04,1.79e+05,-7.36e+00,90,4.80e+00,2.21e-01,4.22e-02,5.06e+00
6.60e-04,1.81e+05,6.78e-04,6.35e-04,1.71e+05,-7.37e+00,91,4.75e+00,2.27e-01,4.27e-02,5.01e+00
6.56e-04,1.78e+05,6.74e-04,6.39e-04,1.78e+05,-7.36e+00,92,4.73e+00,2.30e-01,3.52e-02,4.99e+00
6.58e-04,1.79e+05,6.76e-04,6.27e-04,1.73e+05,-7.38e+00,93,5.06e+00,2.45e-01,4.53e-02,5.35e+00
6.53e-04,1.76e+05,6.70e-04,6.26e-04,1.72e+05,-7.38e+00,94,5.15e+00,2.63e-01,4.77e-02,5.46e+00
6.55e-04,1.76e+05,6.73e-04,6.22e-04,1.66e+05,-7.39e+00,95,5.20e+00,2.30e-01,4.48e-02,5.48e+00
6.50e-04,1.74e+05,6.68e-04,6.18e-04,1.65e+05,-7.39e+00,96,5.20e+00,2.66e-01,4.78e-02,5.52e+00
6.50e-04,1.74e+05,6.67e-04,6.22e-04,1.61e+05,-7.38e+00,97,4.91e+00,2.32e-01,3.55e-02,5.18e+00
6.51e-04,1.72e+05,6.68e-04,6.20e-04,1.56e+05,-7.39e+00,98,4.84e+00,2.29e-01,3.53e-02,5.11e+00
6.54e-04,1.73e+05,6.72e-04,6.26e-04,1.53e+05,-7.38e+00,99,4.79e+00,2.20e-01,3.50e-02,5.04e+00
6.59e-04,1.74e+05,6.76e-04,6.40e-04,1.53e+05,-7.36e+00,100,4.81e+00,2.30e-01,3.56e-02,5.07e+00
6.53e-04,1.71e+05,6.71e-04,6.37e-04,1.50e+05,-7.36e+00,101,4.73e+00,2.33e-01,3.50e-02,5.00e+00
6.46e-04,1.67e+05,6.63e-04,6.18e-04,1.50e+05,-7.39e+00,102,4.82e+00,2.29e-01,4.29e-02,5.09e+00
6.43e-04,1.66e+05,6.59e-04,6.17e-04,1.52e+05,-7.39e+00,103,4.82e+00,2.25e-01,4.24e-02,5.09e+00
6.37e-04,1.64e+05,6.53e-04,6.13e-04,1.48e+05,-7.40e+00,104,4.85e+00,2.30e-01,4.25e-02,5.12e+00
6.34e-04,1.63e+05,6.51e-04,6.14e-04,1.51e+05,-7.40e+00,105,4.78e+00,2.31e-01,3.52e-02,5.05e+00
6.32e-04,1.62e+05,6.48e-04,6.18e-04,1.48e+05,-7.39e+00,106,4.80e+00,2.31e-01,3.51e-02,5.07e+00
