train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.09e-01,2.56e+08,1.09e-01,6.65e-03,9.41e+06,-5.02e+00,0,1.51e+00,8.06e-02,1.27e-02,1.61e+00
5.29e-03,5.62e+06,5.29e-03,3.64e-03,3.28e+06,-5.62e+00,1,1.50e+00,8.05e-02,1.36e-02,1.60e+00
3.70e-03,2.65e+06,3.70e-03,3.03e-03,2.09e+06,-5.81e+00,2,1.49e+00,8.01e-02,1.40e-02,1.58e+00
3.23e-03,1.89e+06,3.23e-03,2.80e-03,1.76e+06,-5.89e+00,3,1.50e+00,8.06e-02,1.36e-02,1.60e+00
3.00e-03,1.62e+06,3.00e-03,2.70e-03,1.71e+06,-5.92e+00,4,1.50e+00,8.05e-02,1.35e-02,1.59e+00
2.80e-03,1.48e+06,2.80e-03,2.59e-03,1.70e+06,-5.96e+00,5,1.51e+00,8.07e-02,1.34e-02,1.60e+00
2.58e-03,1.38e+06,2.58e-03,2.41e-03,1.70e+06,-6.03e+00,6,1.52e+00,8.05e-02,1.45e-02,1.61e+00
2.39e-03,1.32e+06,2.39e-03,2.26e-03,1.58e+06,-6.10e+00,7,1.48e+00,8.02e-02,1.44e-02,1.57e+00
2.23e-03,1.27e+06,2.23e-03,2.14e-03,1.47e+06,-6.15e+00,8,1.51e+00,9.03e-02,1.75e-02,1.62e+00
2.10e-03,1.18e+06,2.10e-03,2.01e-03,1.36e+06,-6.22e+00,9,1.51e+00,7.99e-02,1.48e-02,1.60e+00
2.01e-03,1.09e+06,2.01e-03,1.89e-03,1.22e+06,-6.28e+00,10,1.50e+00,8.03e-02,1.47e-02,1.60e+00
1.95e-03,1.05e+06,1.95e-03,1.84e-03,1.12e+06,-6.31e+00,11,1.52e+00,8.27e-02,1.44e-02,1.62e+00
1.90e-03,1.01e+06,1.90e-03,1.75e-03,1.01e+06,-6.35e+00,12,1.53e+00,8.02e-02,1.44e-02,1.62e+00
1.86e-03,9.76e+05,1.86e-03,1.69e-03,9.50e+05,-6.39e+00,13,1.49e+00,8.02e-02,1.42e-02,1.58e+00
1.82e-03,9.46e+05,1.82e-03,1.65e-03,8.79e+05,-6.42e+00,14,1.51e+00,8.06e-02,1.39e-02,1.60e+00
1.79e-03,9.03e+05,1.79e-03,1.62e-03,8.61e+05,-6.43e+00,15,1.49e+00,8.06e-02,1.35e-02,1.58e+00
1.76e-03,8.84e+05,1.76e-03,1.60e-03,8.30e+05,-6.44e+00,16,1.50e+00,8.08e-02,1.34e-02,1.60e+00
1.74e-03,8.75e+05,1.74e-03,1.59e-03,8.43e+05,-6.45e+00,17,1.47e+00,8.01e-02,1.44e-02,1.57e+00
1.71e-03,8.46e+05,1.71e-03,1.58e-03,8.43e+05,-6.46e+00,18,1.51e+00,8.06e-02,1.43e-02,1.60e+00
1.69e-03,8.33e+05,1.69e-03,1.56e-03,7.97e+05,-6.47e+00,19,1.51e+00,8.03e-02,1.43e-02,1.60e+00
1.66e-03,8.05e+05,1.66e-03,1.56e-03,7.92e+05,-6.47e+00,20,1.51e+00,8.02e-02,1.17e-02,1.60e+00
1.65e-03,7.92e+05,1.65e-03,1.54e-03,7.90e+05,-6.48e+00,21,1.51e+00,8.03e-02,1.44e-02,1.60e+00
1.62e-03,7.76e+05,1.62e-03,1.53e-03,7.87e+05,-6.49e+00,22,1.51e+00,8.05e-02,1.44e-02,1.60e+00
1.60e-03,7.57e+05,1.60e-03,1.50e-03,7.64e+05,-6.51e+00,23,1.51e+00,8.20e-02,2.68e-02,1.62e+00
1.57e-03,7.44e+05,1.57e-03,1.48e-03,7.03e+05,-6.52e+00,24,1.51e+00,8.08e-02,1.43e-02,1.61e+00
