train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
7.68e-02,2.26e+08,7.68e-02,3.68e-03,7.19e+06,-5.61e+00,0,2.90e+00,1.39e-01,2.75e-02,3.06e+00
3.04e-03,4.79e+06,3.04e-03,2.23e-03,3.37e+06,-6.11e+00,1,2.88e+00,1.40e-01,4.54e-02,3.06e+00
2.15e-03,2.70e+06,2.15e-03,1.78e-03,2.25e+06,-6.33e+00,2,2.89e+00,1.40e-01,3.91e-02,3.07e+00
1.80e-03,1.89e+06,1.80e-03,1.53e-03,1.73e+06,-6.48e+00,3,2.88e+00,1.39e-01,3.84e-02,3.06e+00
1.57e-03,1.46e+06,1.57e-03,1.30e-03,1.31e+06,-6.65e+00,4,2.88e+00,1.39e-01,3.86e-02,3.06e+00
1.39e-03,1.17e+06,1.39e-03,1.20e-03,1.04e+06,-6.72e+00,5,2.89e+00,1.39e-01,4.19e-02,3.07e+00
1.27e-03,9.77e+05,1.27e-03,1.13e-03,8.76e+05,-6.78e+00,6,2.89e+00,1.59e-01,4.46e-02,3.10e+00
1.19e-03,8.52e+05,1.19e-03,1.09e-03,7.65e+05,-6.83e+00,7,2.89e+00,1.40e-01,4.60e-02,3.08e+00
1.13e-03,7.57e+05,1.13e-03,1.05e-03,6.63e+05,-6.86e+00,8,2.88e+00,1.40e-01,4.70e-02,3.07e+00
1.08e-03,6.88e+05,1.08e-03,1.03e-03,5.87e+05,-6.88e+00,9,2.89e+00,1.39e-01,3.85e-02,3.06e+00
1.04e-03,6.27e+05,1.04e-03,1.02e-03,5.44e+05,-6.89e+00,10,2.88e+00,1.39e-01,4.47e-02,3.06e+00
1.01e-03,5.79e+05,1.01e-03,1.02e-03,5.14e+05,-6.89e+00,11,2.89e+00,1.40e-01,3.27e-02,3.07e+00
9.79e-04,5.32e+05,9.79e-04,1.02e-03,4.78e+05,-6.89e+00,12,2.90e+00,1.39e-01,4.62e-02,3.09e+00
9.55e-04,4.96e+05,9.55e-04,9.98e-04,4.71e+05,-6.91e+00,13,2.89e+00,1.39e-01,4.21e-02,3.07e+00
9.36e-04,4.76e+05,9.36e-04,9.68e-04,4.76e+05,-6.94e+00,14,2.89e+00,1.39e-01,3.85e-02,3.06e+00
9.18e-04,4.53e+05,9.18e-04,9.53e-04,4.78e+05,-6.96e+00,15,2.88e+00,1.40e-01,4.59e-02,3.07e+00
9.04e-04,4.38e+05,9.04e-04,9.45e-04,4.80e+05,-6.97e+00,16,2.90e+00,1.40e-01,3.86e-02,3.08e+00
8.90e-04,4.23e+05,8.90e-04,9.27e-04,4.76e+05,-6.99e+00,17,2.88e+00,1.39e-01,3.86e-02,3.06e+00
8.83e-04,4.10e+05,8.83e-04,9.12e-04,4.63e+05,-7.00e+00,18,2.88e+00,1.39e-01,3.84e-02,3.06e+00
8.73e-04,3.98e+05,8.73e-04,9.00e-04,4.60e+05,-7.02e+00,19,2.88e+00,1.39e-01,3.83e-02,3.06e+00
8.61e-04,3.84e+05,8.61e-04,8.94e-04,4.59e+05,-7.02e+00,20,2.88e+00,1.39e-01,4.52e-02,3.06e+00
8.47e-04,3.71e+05,8.47e-04,8.87e-04,4.50e+05,-7.03e+00,21,2.89e+00,1.40e-01,4.59e-02,3.08e+00
8.34e-04,3.58e+05,8.34e-04,8.67e-04,4.30e+05,-7.05e+00,22,2.89e+00,1.39e-01,4.55e-02,3.07e+00
8.21e-04,3.51e+05,8.21e-04,8.54e-04,4.30e+05,-7.07e+00,23,2.89e+00,1.40e-01,4.56e-02,3.08e+00
8.06e-04,3.40e+05,8.06e-04,8.34e-04,4.11e+05,-7.09e+00,24,2.89e+00,1.39e-01,4.67e-02,3.08e+00
8.00e-04,3.28e+05,8.00e-04,8.11e-04,3.96e+05,-7.12e+00,25,2.89e+00,1.39e-01,3.86e-02,3.07e+00
7.96e-04,3.23e+05,7.96e-04,8.06e-04,3.90e+05,-7.13e+00,26,2.89e+00,1.40e-01,4.65e-02,3.08e+00
7.78e-04,3.11e+05,7.78e-04,7.80e-04,3.73e+05,-7.16e+00,27,2.90e+00,1.39e-01,4.63e-02,3.08e+00
7.73e-04,3.06e+05,7.73e-04,7.62e-04,3.61e+05,-7.18e+00,28,2.89e+00,1.39e-01,4.63e-02,3.08e+00
7.62e-04,3.00e+05,7.62e-04,7.61e-04,3.57e+05,-7.18e+00,29,2.89e+00,1.41e-01,4.62e-02,3.08e+00
7.59e-04,2.97e+05,7.59e-04,7.51e-04,3.50e+05,-7.20e+00,30,2.89e+00,1.39e-01,4.69e-02,3.08e+00
7.44e-04,2.88e+05,7.44e-04,7.37e-04,3.32e+05,-7.22e+00,31,2.89e+00,1.40e-01,4.19e-02,3.07e+00
7.30e-04,2.83e+05,7.30e-04,7.20e-04,3.15e+05,-7.24e+00,32,2.89e+00,1.39e-01,4.54e-02,3.07e+00
7.23e-04,2.72e+05,7.23e-04,7.05e-04,2.94e+05,-7.26e+00,33,2.89e+00,1.40e-01,4.43e-02,3.07e+00
7.15e-04,2.71e+05,7.15e-04,7.00e-04,2.86e+05,-7.27e+00,34,2.89e+00,1.39e-01,4.53e-02,3.08e+00
7.08e-04,2.67e+05,7.08e-04,6.92e-04,2.78e+05,-7.28e+00,35,2.90e+00,1.40e-01,4.23e-02,3.08e+00
7.04e-04,2.62e+05,7.04e-04,6.80e-04,2.77e+05,-7.29e+00,36,2.89e+00,1.40e-01,3.85e-02,3.06e+00
6.95e-04,2.57e+05,6.95e-04,6.75e-04,2.74e+05,-7.30e+00,37,2.88e+00,1.39e-01,4.57e-02,3.07e+00
6.88e-04,2.52e+05,6.88e-04,6.63e-04,2.77e+05,-7.32e+00,38,3.04e+00,1.42e-01,4.07e-02,3.22e+00
6.87e-04,2.51e+05,6.87e-04,6.63e-04,2.84e+05,-7.32e+00,39,2.99e+00,1.41e-01,3.28e-02,3.16e+00
6.81e-04,2.47e+05,6.81e-04,6.69e-04,2.71e+05,-7.31e+00,40,3.01e+00,1.52e-01,3.68e-02,3.20e+00
6.91e-04,2.52e+05,6.91e-04,7.45e-04,3.10e+05,-7.20e+00,41,3.15e+00,1.52e-01,3.64e-02,3.34e+00
6.83e-04,2.46e+05,6.83e-04,7.14e-04,3.25e+05,-7.25e+00,42,3.22e+00,1.55e-01,3.53e-02,3.41e+00
6.65e-04,2.40e+05,6.65e-04,6.92e-04,2.99e+05,-7.28e+00,43,3.18e+00,1.54e-01,3.52e-02,3.37e+00
6.54e-04,2.36e+05,6.54e-04,6.80e-04,2.94e+05,-7.29e+00,44,3.10e+00,1.44e-01,3.48e-02,3.28e+00
6.41e-04,2.28e+05,6.41e-04,6.57e-04,2.72e+05,-7.33e+00,45,3.08e+00,1.49e-01,4.25e-02,3.27e+00
6.35e-04,2.25e+05,6.35e-04,6.36e-04,2.58e+05,-7.36e+00,46,3.17e+00,1.53e-01,4.76e-02,3.37e+00
6.21e-04,2.19e+05,6.21e-04,6.24e-04,2.33e+05,-7.38e+00,47,3.20e+00,1.49e-01,4.02e-02,3.39e+00
6.22e-04,2.18e+05,6.22e-04,6.14e-04,2.22e+05,-7.40e+00,48,3.15e+00,1.54e-01,4.21e-02,3.34e+00
6.19e-04,2.19e+05,6.19e-04,6.12e-04,2.14e+05,-7.40e+00,49,3.12e+00,1.55e-01,4.82e-02,3.32e+00
6.32e-04,2.21e+05,6.32e-04,6.06e-04,2.29e+05,-7.41e+00,50,3.10e+00,1.45e-01,4.90e-02,3.29e+00
6.12e-04,2.16e+05,6.12e-04,6.04e-04,2.24e+05,-7.41e+00,51,3.11e+00,1.49e-01,4.76e-02,3.31e+00
6.08e-04,2.13e+05,6.08e-04,6.00e-04,2.16e+05,-7.42e+00,52,3.10e+00,1.54e-01,4.82e-02,3.30e+00
6.03e-04,2.10e+05,6.03e-04,5.96e-04,2.09e+05,-7.43e+00,53,3.10e+00,1.48e-01,4.74e-02,3.30e+00
6.01e-04,2.09e+05,6.01e-04,5.94e-04,2.07e+05,-7.43e+00,54,4.09e+00,1.51e-01,3.97e-02,4.28e+00
5.99e-04,2.08e+05,5.99e-04,5.94e-04,2.01e+05,-7.43e+00,55,3.15e+00,1.70e-01,3.70e-02,3.35e+00
6.04e-04,2.11e+05,6.04e-04,5.95e-04,2.18e+05,-7.43e+00,56,3.61e+00,1.63e-01,4.34e-02,3.82e+00
6.25e-04,2.19e+05,6.25e-04,6.07e-04,2.52e+05,-7.41e+00,57,3.38e+00,1.62e-01,4.03e-02,3.58e+00
6.27e-04,2.24e+05,6.27e-04,6.48e-04,2.80e+05,-7.34e+00,58,3.34e+00,1.61e-01,3.99e-02,3.54e+00
6.23e-04,2.12e+05,6.23e-04,6.34e-04,2.18e+05,-7.36e+00,59,3.35e+00,1.61e-01,3.93e-02,3.55e+00
6.17e-04,2.04e+05,6.17e-04,5.77e-04,2.10e+05,-7.46e+00,60,3.37e+00,1.61e-01,4.56e-02,3.57e+00
6.08e-04,2.05e+05,6.08e-04,5.78e-04,1.99e+05,-7.46e+00,61,3.39e+00,1.64e-01,3.95e-02,3.59e+00
6.03e-04,2.00e+05,6.03e-04,6.03e-04,2.01e+05,-7.42e+00,62,3.40e+00,1.60e-01,3.98e-02,3.60e+00
5.96e-04,1.93e+05,5.96e-04,6.01e-04,2.06e+05,-7.42e+00,63,3.37e+00,1.64e-01,3.84e-02,3.57e+00
5.93e-04,1.91e+05,5.93e-04,6.09e-04,2.03e+05,-7.41e+00,64,3.40e+00,1.67e-01,3.07e-02,3.60e+00
5.86e-04,1.88e+05,5.86e-04,5.99e-04,2.03e+05,-7.42e+00,65,3.41e+00,1.63e-01,3.77e-02,3.61e+00
5.75e-04,1.83e+05,5.75e-04,5.87e-04,1.98e+05,-7.44e+00,66,3.48e+00,1.67e-01,3.67e-02,3.69e+00
5.68e-04,1.81e+05,5.68e-04,5.70e-04,1.86e+05,-7.47e+00,67,3.52e+00,1.69e-01,4.45e-02,3.74e+00
5.63e-04,1.80e+05,5.63e-04,5.51e-04,2.01e+05,-7.50e+00,68,3.47e+00,1.62e-01,4.88e-02,3.68e+00
5.53e-04,1.79e+05,5.53e-04,5.56e-04,1.95e+05,-7.50e+00,69,3.37e+00,1.59e-01,3.65e-02,3.57e+00
5.52e-04,1.78e+05,5.52e-04,5.56e-04,1.88e+05,-7.50e+00,70,3.31e+00,1.57e-01,3.62e-02,3.51e+00
5.48e-04,1.77e+05,5.48e-04,5.57e-04,1.92e+05,-7.49e+00,71,3.31e+00,1.58e-01,3.59e-02,3.50e+00
5.49e-04,1.78e+05,5.49e-04,5.50e-04,1.75e+05,-7.51e+00,72,3.36e+00,1.62e-01,4.25e-02,3.57e+00
5.47e-04,1.75e+05,5.47e-04,5.48e-04,1.70e+05,-7.51e+00,73,3.36e+00,1.61e-01,4.89e-02,3.57e+00
5.44e-04,1.76e+05,5.44e-04,5.52e-04,1.65e+05,-7.50e+00,74,3.34e+00,1.60e-01,3.63e-02,3.54e+00
