var,run,key,median_rmsd,mean_rmsd,std_rmsd,ccc,inversion_ratio,wd_N-CA,wd_CA-C,wd_C-N,wd_CA-CB
17.0,1.0,test_trans,1.63,1.65,0.288,0.967,0.106,0.106,0.115,0.126,0.119
17.0,1.0,train_closed,0.905,0.915,0.085,0.942,0.226,0.0867,0.0953,0.104,0.0968
17.0,1.0,train_open,0.991,1.01,0.107,0.918,0.257,0.0873,0.101,0.107,0.101
17.0,2.0,test_trans,1.62,1.64,0.277,0.965,0.0,0.115,0.128,0.132,0.121
17.0,2.0,train_closed,0.9,0.909,0.0857,0.939,0.0025,0.0927,0.108,0.103,0.101
17.0,2.0,train_open,0.983,1.0,0.112,0.911,0.234,0.0962,0.109,0.11,0.107
17.0,3.0,test_trans,1.61,1.63,0.276,0.97,0.275,0.106,0.116,0.12,0.112
17.0,3.0,train_closed,0.895,0.904,0.0843,0.941,0.651,0.0844,0.0968,0.0951,0.0897
17.0,3.0,train_open,0.981,0.993,0.108,0.917,0.48,0.0937,0.0991,0.105,0.0966
17.0,4.0,test_trans,1.62,1.64,0.271,0.971,0.0,0.109,0.122,0.119,0.118
17.0,4.0,train_closed,0.902,0.911,0.0819,0.941,0.0,0.0882,0.104,0.0964,0.0994
17.0,4.0,train_open,0.986,1.0,0.11,0.917,0.0005,0.0903,0.103,0.105,0.103
17.0,5.0,test_trans,1.61,1.64,0.278,0.967,0.0644,0.11,0.123,0.129,0.118
17.0,5.0,train_closed,0.928,0.937,0.0858,0.944,0.52,0.0899,0.103,0.106,0.0967
17.0,5.0,train_open,1.01,1.02,0.115,0.916,0.284,0.0943,0.0992,0.107,0.0956
18.0,1.0,test_trans,1.67,1.7,0.341,0.956,0.0569,0.108,0.114,0.12,0.121
18.0,1.0,train_closed,0.896,0.905,0.0875,0.944,0.318,0.0938,0.0931,0.0992,0.104
18.0,1.0,train_open,1.01,1.03,0.123,0.895,0.161,0.0948,0.0994,0.105,0.104
18.0,2.0,test_trans,1.62,1.65,0.317,0.968,0.196,0.1,0.103,0.109,0.107
18.0,2.0,train_closed,0.869,0.88,0.0889,0.957,0.745,0.0813,0.0813,0.09,0.0837
18.0,2.0,train_open,0.97,0.984,0.112,0.922,0.162,0.0876,0.0915,0.0976,0.0931
18.0,3.0,test_trans,1.65,1.69,0.325,0.97,0.169,0.113,0.121,0.118,0.113
18.0,3.0,train_closed,0.897,0.908,0.0873,0.946,0.648,0.0906,0.0985,0.098,0.0946
18.0,3.0,train_open,0.98,0.995,0.113,0.904,0.514,0.0986,0.0997,0.101,0.1
18.0,4.0,test_trans,1.69,1.71,0.331,0.951,0.107,0.115,0.119,0.125,0.124 
18.0,4.0,train_closed,0.902,0.909,0.09,0.941,0.412,0.0954,0.0967,0.104,0.101
18.0,4.0,train_open,1.02,1.04,0.127,0.888,0.237,0.0983,0.0993,0.11,0.116
18.0,5.0,test_trans,1.67,1.69,0.342,0.959,0.085,0.112,0.119,0.12,0.118
18.0,5.0,train_closed,0.887,0.897,0.0849,0.941,0.39,0.0911,0.0938,0.0937,0.0977
18.0,5.0,train_open,0.994,1.01,0.126,0.895,0.494,0.0962,0.0957,0.104,0.102
19.0,1.0,test_trans,1.84,1.86,0.39,0.899,0.0106,0.156,0.175,0.168,0.158
19.0,1.0,train_closed,0.995,1.01,0.102,0.928,0.16,0.132,0.143,0.139,0.129
19.0,1.0,train_open,1.11,1.14,0.126,0.88,0.002,0.134,0.152,0.147,0.138
19.0,2.0,test_trans,1.81,1.83,0.382,0.908,0.0163,0.139,0.166,0.158,0.144
19.0,2.0,train_closed,0.957,0.97,0.0974,0.943,0.343,0.119,0.142,0.138,0.12
19.0,2.0,train_open,1.07,1.08,0.131,0.889,0.0015,0.123,0.149,0.151,0.128
19.0,3.0,test_trans,1.76,1.79,0.391,0.884,0.111,0.115,0.124,0.124,0.121
19.0,3.0,train_closed,0.9,0.912,0.0865,0.957,0.606,0.093,0.102,0.106,0.101
19.0,3.0,train_open,1.0,1.01,0.111,0.898,0.337,0.0977,0.102,0.106,0.104
19.0,4.0,test_trans,1.7,1.73,0.312,0.973,0.00313,0.146,0.163,0.168,0.148
19.0,4.0,train_closed,0.993,1.0,0.0941,0.946,0.136,0.125,0.137,0.147,0.125
19.0,4.0,train_open,1.07,1.09,0.121,0.893,0.016,0.125,0.14,0.146,0.128
19.0,5.0,test_trans,1.76,1.77,0.322,0.967,0.0175,0.145,0.163,0.157,0.149
19.0,5.0,train_closed,0.973,0.989,0.106,0.933,0.318,0.113,0.123,0.121,0.115
19.0,5.0,train_open,1.08,1.1,0.132,0.879,0.0365,0.116,0.133,0.128,0.124
20.0,1.0,test_trans,1.65,1.68,0.319,0.971,0.0431,0.118,0.123,0.125,0.129
20.0,1.0,train_closed,0.883,0.893,0.086,0.954,0.0365,0.0988,0.103,0.103,0.116
20.0,1.0,train_open,0.988,1.0,0.105,0.917,0.244,0.105,0.107,0.108,0.112
20.0,2.0,test_trans,1.68,1.7,0.36,0.969,0.178,0.107,0.118,0.117,0.12
20.0,2.0,train_closed,0.893,0.902,0.0822,0.952,0.452,0.0883,0.0963,0.0953,0.0967
20.0,2.0,train_open,0.984,0.997,0.117,0.902,0.538,0.0929,0.098,0.0968,0.101
20.0,3.0,test_trans,1.67,1.71,0.342,0.966,0.0,0.117,0.114,0.118,0.119
20.0,3.0,train_closed,0.905,0.913,0.09,0.95,0.0,0.0962,0.0981,0.093,0.1
20.0,3.0,train_open,0.986,0.996,0.11,0.917,0.0,0.1,0.102,0.102,0.103
20.0,4.0,test_trans,1.61,1.65,0.319,0.967,0.0025,0.103,0.11,0.113,0.112
20.0,4.0,train_closed,0.862,0.872,0.0862,0.955,0.0415,0.0837,0.0888,0.0924,0.0921
20.0,4.0,train_open,0.958,0.972,0.11,0.909,0.025,0.0875,0.0954,0.0982,0.0945
20.0,5.0,test_trans,1.71,1.76,0.359,0.961,0.0,0.138,0.148,0.146,0.149
20.0,5.0,train_closed,0.97,0.982,0.0961,0.938,0.287,0.124,0.134,0.125,0.134
20.0,5.0,train_open,1.06,1.07,0.121,0.896,0.002,0.127,0.134,0.132,0.137
2.0,1.0,test_trans,2.13,2.23,0.563,0.873,0.392,0.119,0.125,0.133,0.125
2.0,1.0,train_closed,1.04,1.05,0.133,0.877,0.701,0.1,0.105,0.11,0.102
2.0,1.0,train_open,1.2,1.25,0.263,0.625,0.616,0.0943,0.103,0.104,0.0978
2.0,2.0,test_trans,2.12,2.25,0.599,0.878,0.0,0.168,0.173,0.185,0.176
2.0,2.0,train_closed,1.12,1.13,0.139,0.849,0.0,0.156,0.161,0.171,0.164
2.0,2.0,train_open,1.26,1.33,0.285,0.563,0.0,0.156,0.16,0.174,0.164
2.0,3.0,test_trans,2.11,2.18,0.532,0.885,0.0106,0.149,0.156,0.164,0.16
2.0,3.0,train_closed,1.09,1.11,0.136,0.858,0.0375,0.131,0.143,0.15,0.144
2.0,3.0,train_open,1.26,1.32,0.273,0.534,0.132,0.136,0.139,0.152,0.141
2.0,4.0,test_trans,2.12,2.24,0.569,0.878,0.0,0.169,0.177,0.187,0.174
2.0,4.0,train_closed,1.1,1.11,0.142,0.845,0.0,0.147,0.152,0.163,0.155
2.0,4.0,train_open,1.26,1.32,0.269,0.551,0.0,0.15,0.154,0.164,0.147
2.0,5.0,test_trans,2.15,2.23,0.532,0.871,0.192,0.141,0.139,0.138,0.149
2.0,5.0,train_closed,1.08,1.1,0.136,0.848,0.334,0.125,0.125,0.12,0.134
2.0,5.0,train_open,1.25,1.31,0.264,0.566,0.004,0.127,0.129,0.131,0.136
3.0,1.0,test_trans,2.36,2.87,1.31,0.287,0.271,0.105,0.117,0.119,0.113
3.0,1.0,train_closed,1.05,1.07,0.146,0.853,0.367,0.0988,0.109,0.109,0.107
3.0,1.0,train_open,1.19,1.22,0.194,0.701,0.536,0.101,0.113,0.115,0.112
3.0,2.0,test_trans,2.28,2.72,1.19,0.326,0.406,0.1,0.107,0.106,0.114
3.0,2.0,train_closed,1.02,1.04,0.135,0.862,0.772,0.0934,0.0965,0.0986,0.105
3.0,2.0,train_open,1.15,1.19,0.181,0.717,0.534,0.0984,0.106,0.106,0.109
3.0,3.0,test_trans,2.21,2.77,1.32,0.249,0.16,0.101,0.11,0.115,0.105
3.0,3.0,train_closed,1.01,1.03,0.128,0.884,0.49,0.094,0.101,0.109,0.0971
3.0,3.0,train_open,1.14,1.18,0.183,0.723,0.611,0.0949,0.105,0.11,0.103
