var,run,key,median_rmsd,mean_rmsd,std_rmsd,ccc,inversion_ratio,wd_N-CA,wd_CA-C,wd_C-N,wd_CA-CB
17.0,1.0,test_trans,1.628,1.648,0.288,0.967,0.106,0.106,0.115,0.126,0.119
17.0,1.0,train_closed,0.905,0.915,0.085,0.942,0.226,0.087,0.095,0.104,0.097
17.0,1.0,train_open,0.991,1.007,0.107,0.918,0.257,0.087,0.101,0.107,0.101
17.0,2.0,test_trans,1.622,1.638,0.277,0.965,0.0,0.115,0.128,0.132,0.121
17.0,2.0,train_closed,0.9,0.909,0.086,0.939,0.003,0.093,0.108,0.103,0.101
17.0,2.0,train_open,0.983,1.0,0.112,0.911,0.234,0.096,0.109,0.11,0.107
17.0,3.0,test_trans,1.609,1.628,0.276,0.97,0.275,0.106,0.116,0.12,0.112
17.0,3.0,train_closed,0.895,0.904,0.084,0.941,0.651,0.084,0.097,0.095,0.09
17.0,3.0,train_open,0.981,0.993,0.108,0.917,0.48,0.094,0.099,0.105,0.097
17.0,4.0,test_trans,1.624,1.637,0.271,0.971,0.0,0.109,0.122,0.119,0.118
17.0,4.0,train_closed,0.902,0.911,0.082,0.941,0.0,0.088,0.104,0.096,0.099
17.0,4.0,train_open,0.986,1.002,0.11,0.917,0.001,0.09,0.103,0.105,0.103
17.0,5.0,test_trans,1.613,1.635,0.278,0.967,0.064,0.11,0.123,0.129,0.118
17.0,5.0,train_closed,0.928,0.937,0.086,0.944,0.52,0.09,0.103,0.106,0.097
17.0,5.0,train_open,1.006,1.022,0.115,0.916,0.284,0.094,0.099,0.107,0.096
18.0,1.0,test_trans,1.668,1.696,0.341,0.956,0.057,0.108,0.114,0.12,0.121
18.0,1.0,train_closed,0.896,0.905,0.088,0.944,0.318,0.094,0.093,0.099,0.104
18.0,1.0,train_open,1.014,1.03,0.123,0.895,0.161,0.095,0.099,0.105,0.104
18.0,2.0,test_trans,1.623,1.652,0.317,0.968,0.196,0.1,0.103,0.109,0.107
18.0,2.0,train_closed,0.869,0.88,0.089,0.957,0.745,0.081,0.081,0.09,0.084
18.0,2.0,train_open,0.97,0.984,0.112,0.922,0.162,0.088,0.092,0.098,0.093
18.0,3.0,test_trans,1.651,1.686,0.325,0.97,0.169,0.113,0.121,0.118,0.113
18.0,3.0,train_closed,0.897,0.908,0.087,0.946,0.648,0.091,0.099,0.098,0.095
18.0,3.0,train_open,0.98,0.995,0.113,0.904,0.514,0.099,0.1,0.101,0.1
18.0,4.0,test_trans,1.694,1.706,0.331,0.951,0.107,0.115,0.119,0.125,0.124
18.0,4.0,train_closed,0.902,0.909,0.09,0.941,0.412,0.095,0.097,0.104,0.101
18.0,4.0,train_open,1.023,1.041,0.127,0.888,0.237,0.098,0.099,0.11,0.116
18.0,5.0,test_trans,1.671,1.692,0.342,0.959,0.085,0.112,0.119,0.12,0.118
18.0,5.0,train_closed,0.887,0.897,0.085,0.941,0.39,0.091,0.094,0.094,0.098
18.0,5.0,train_open,0.994,1.011,0.126,0.895,0.494,0.096,0.096,0.104,0.102
19.0,1.0,test_trans,1.836,1.857,0.39,0.899,0.011,0.156,0.175,0.168,0.158
19.0,1.0,train_closed,0.995,1.008,0.102,0.928,0.16,0.132,0.143,0.139,0.129
19.0,1.0,train_open,1.112,1.136,0.126,0.88,0.002,0.134,0.152,0.147,0.138
19.0,2.0,test_trans,1.81,1.833,0.382,0.908,0.016,0.139,0.166,0.158,0.144
19.0,2.0,train_closed,0.957,0.97,0.097,0.943,0.343,0.119,0.142,0.138,0.12
19.0,2.0,train_open,1.065,1.081,0.131,0.889,0.002,0.123,0.149,0.151,0.128
19.0,3.0,test_trans,1.764,1.786,0.391,0.884,0.111,0.115,0.124,0.124,0.121
19.0,3.0,train_closed,0.9,0.912,0.087,0.957,0.606,0.093,0.102,0.106,0.101
19.0,3.0,train_open,1.0,1.014,0.111,0.898,0.337,0.098,0.102,0.106,0.104
19.0,4.0,test_trans,1.697,1.732,0.312,0.973,0.003,0.146,0.163,0.168,0.148
19.0,4.0,train_closed,0.993,1.004,0.094,0.946,0.136,0.125,0.137,0.147,0.125
19.0,4.0,train_open,1.072,1.093,0.121,0.893,0.016,0.125,0.14,0.146,0.128
19.0,5.0,test_trans,1.76,1.77,0.322,0.967,0.018,0.145,0.163,0.157,0.149
19.0,5.0,train_closed,0.973,0.989,0.106,0.933,0.318,0.113,0.123,0.121,0.115
19.0,5.0,train_open,1.079,1.099,0.132,0.879,0.036,0.116,0.133,0.128,0.124
20.0,1.0,test_trans,1.647,1.683,0.319,0.971,0.043,0.118,0.123,0.125,0.129
20.0,1.0,train_closed,0.883,0.893,0.086,0.954,0.036,0.099,0.103,0.103,0.116
20.0,1.0,train_open,0.988,1.0,0.105,0.917,0.244,0.105,0.107,0.108,0.112
20.0,2.0,test_trans,1.677,1.703,0.36,0.969,0.178,0.107,0.118,0.117,0.12
20.0,2.0,train_closed,0.893,0.902,0.082,0.952,0.452,0.088,0.096,0.095,0.097
20.0,2.0,train_open,0.984,0.997,0.117,0.902,0.538,0.093,0.098,0.097,0.101
20.0,3.0,test_trans,1.674,1.708,0.342,0.966,0.0,0.117,0.114,0.118,0.119
20.0,3.0,train_closed,0.905,0.913,0.09,0.95,0.0,0.096,0.098,0.093,0.1
20.0,3.0,train_open,0.986,0.996,0.11,0.917,0.0,0.1,0.102,0.102,0.103
20.0,4.0,test_trans,1.609,1.653,0.319,0.967,0.003,0.103,0.11,0.113,0.112
20.0,4.0,train_closed,0.862,0.872,0.086,0.955,0.042,0.084,0.089,0.092,0.092
