var,mean,std,train/test
2,0.1189,0.1548,test
2,0.1823,0.2461,train
3,0.2618,0.1542,test
3,0.4957,0.1774,train
4,0.0955,0.0596,test
4,0.4681,0.242,train
5,0.0106,0.0066,test
5,0.1058,0.0761,train
6,0.0,0.0,test
6,0.0029,0.0036,train
7,0.0689,0.0443,test
7,0.4309,0.046,train
8,0.0836,0.1048,test
8,0.2103,0.221,train
9,0.0658,0.0364,test
9,0.369,0.1364,train
10,0.0906,0.0477,test
10,0.3062,0.1855,train
11,0.0737,0.0789,test
11,0.3694,0.2656,train
12,0.0549,0.0444,test
12,0.374,0.2239,train
13,0.0916,0.1123,test
13,0.234,0.2916,train
14,0.1596,0.0577,test
14,0.3929,0.0594,train
15,0.0804,0.0631,test
15,0.4139,0.2035,train
16,0.1031,0.0881,test
16,0.3161,0.2342,train
