var,dataset,mean,std
2,test_trans,0.8782933856768083,0.006183994621306963
2,train_both,0.9677364360092465,0.0037460382617060554
3,test_trans,0.390309838108193,0.24623561412333983
3,train_both,0.9757921483242752,0.002540492623605386
4,test_trans,0.9302766086016435,0.012927739105344584
4,train_both,0.9848610093216008,0.0062094397666428635
5,test_trans,0.9609831295960317,0.002967044671784746
5,train_both,0.9879402608646564,0.0008219906699948523
6,test_trans,0.916144117403414,0.007279405597998468
6,train_both,0.9833944215955832,0.0010338539712233094
7,test_trans,0.9672724525625588,0.000883698943404047
7,train_both,0.9917785706897331,0.0006559533667352742
8,test_trans,0.9413084774831415,0.01026762285801764
8,train_both,0.9899281300086148,0.002083993038365567
9,test_trans,0.9669300866629038,0.004073712112568907
9,train_both,0.9920720911731904,0.000976818607174048
10,test_trans,0.9691534390933636,0.0016856461934698
10,train_both,0.9927618846579476,0.000618744055079709
11,test_trans,0.9717840940372486,0.002578703056445053
11,train_both,0.9936588005985685,0.0006116441823880754
12,test_trans,0.963751714668321,0.005608970513883906
12,train_both,0.9929645549329427,0.001684388782361025
13,test_trans,0.9462093290332637,0.020933487258136093
13,train_both,0.9839088126703759,0.009280653592740022
14,test_trans,0.9701296827618519,0.0032228180811429215
14,train_both,0.9938795750144587,0.0005865232817792046
15,test_trans,0.9679823039203133,0.010113873293331884
15,train_both,0.9926010442695594,0.0035329862313211715
16,test_trans,0.9559854975159757,0.005442541335712608
16,train_both,0.9924551382194297,0.0019796494965049565
